ID,Data series name,Link
2,FAO - Food Prices,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=FAO - Food Prices
3,WFP - Food Prices,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=WFP - Food Prices
4,OCHA FTS - Requirements and Funding Data,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=OCHA FTS - Requirements and Funding Data
5,UNHCR - Livelihoods Programme Monitoring Beneficiary Survey,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=UNHCR - Livelihoods Programme Monitoring Beneficiary Survey
6,UNHCR - Energy Monitoring Framework Survey,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=UNHCR - Energy Monitoring Framework Survey
7,IPC - Acute Food Insecurity Classification,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=IPC - Acute Food Insecurity Classification
8,OCHA FTS - Humanitarian Response Plan Projects,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=OCHA FTS - Humanitarian Response Plan Projects
9,HDX - COVID-19 Subnational Cases,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=HDX - COVID-19 Subnational Cases
10,ACLED - Conflict Events,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=ACLED - Conflict Events
11,WHO - WHO Health Indicators,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=WHO - WHO Health Indicators
12,COD - Subnational Administrative Boundaries,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=COD - Subnational Administrative Boundaries
13,COD - Subnational Population Statistics,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=COD - Subnational Population Statistics
14,HOTOSM - Buildings,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=HOTOSM - Buildings
15,HOTOSM - Railways,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=HOTOSM - Railways
16,HOTOSM - Financial Services,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=HOTOSM - Financial Services
17,HOTOSM - Populated Places,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=HOTOSM - Populated Places
18,HOTOSM - Health Facilities,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=HOTOSM - Health Facilities
19,HOTOSM - Education Facilities,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=HOTOSM - Education Facilities
20,HOTOSM - Sea Ports,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=HOTOSM - Sea Ports
21,HOTOSM - Airports,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=HOTOSM - Airports
22,HOTOSM - Points of Interest,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=HOTOSM - Points of Interest
23,HOTOSM - Waterways,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=HOTOSM - Waterways
24,HOTOSM - Roads,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=HOTOSM - Roads
25,UCDP - Data on Conflict Events,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=UCDP - Data on Conflict Events
27,Data for Good at Meta - High Resolution Population Density Maps and Demographic Estimates,https://blue.demo.data-humdata-org.ahconu.org/dataset?dataseries_name=Data for Good at Meta - High Resolution Population Density Maps and Demographic Estimates
