clean,
OpenNepal|OpenNepal|OpenNepal|OpenNepal,
aec6b521-5e85-4de2-a6a8-7efcdc2dedc0,"Nepal - Grants to DDC, VDC and Municipality from 2009/10 - 2013/14"
cfed1b32-b79e-4b89-880a-24924b208006,Nepal - Gross Value Added by Industrial Division at current prices
d3a3485d-a92c-4496-b4bc-465793737b05,Nepal - Government Expenditure from 2010/11 to 2012/13
0b699339-e368-453d-af0a-b382b1e18c18,Nepal - Number of Banks and Financial Institutions in 2013/14
a0a3f673-daa0-4298-8e2f-8eee887a7be7,Nepal - Government Budget Allocated to Districts for the year 2070 - 71
b7d963d6-c887-49b0-9a9b-b37db10a73a9,Nepal - Government Income from 2010/11 to 2012/13
8e3d4c70-bc1b-42a3-8198-6364df094829,Nepal - Unemployment status
dbabfa52-bb98-4fb5-9b99-2e86a76dd0c1,Nepal - Annual Growth Rate of GDP by Economic Activities at constant price
e7f6778d-a700-4256-bba3-fd77c44eb481,Nepal - Intermediate consumption by intermediate division at current prices
4e7dc5f8-12cb-4c69-9901-555714b23029,Nepal - Remittance Inflows for the year 2011/12
ddc3d0ce-3556-4408-b55c-5f0013383a62,Nepal - Remittance estimates of sending countries and receiving country Nepal 2012
22789acb-5896-48d4-b310-6a1e7b96a019,Nepal - Gross Value Added by Industrial Division at constant 2000/01 prices
e0affa42-4625-4d2d-a515-c1fe847994e1,"Nepal - Ministry Wise foreign grants and loans, 2014/15"
14fce7ab-bcaa-4b48-a8a0-1a5eb37dd43f,Nepal - GDP Trend
c24aa3bd-dcc9-4538-8a67-2a5bc512a3dd,Nepal - Migrant remittance inflow in Nepal 2012
5322dbb0-3b3c-4904-9598-dd699f56102c,"Nepal - Number of Nepalese people going abroad,2000-2013"
0d460536-0e49-4ad8-b923-7cbbcc3f884e,Nepal - District wise Budget Expenditure Status for the year 2070/71 Mangsir
16046b62-6f01-44bb-80d0-76911200493c,Nepal - Remittance estimates from Nepal as sending country to other receiving countries 2012
1dcbeeea-e8ea-48bb-9bf9-47c234bc9d94,Nepal - Remittance Outflows for the year 2011/12
48655971-22de-4da9-9cc3-95664f5983de,Nepal - Number of telephone subscribers
d32b366b-76c3-4c84-95a9-2ad2e99eed30,Nepal - Migrant remittance outflow from Nepal 2012
