MIMU - Myanmar Village Points and Boundaries,
Myanmar Information Management Unit (MIMU),
7d2f14a2-2306-40a0-abe8-1658fc33b1bf,Village Points Yangon Region PCode v9.4
e4e67e59-975b-443c-a81c-ab78ba8f520c,Village Points Tanintharyi Region PCode v9.4
6c1ff824-59f2-416b-8906-9a493c2be570,Village Points Shan State PCode v9.4
1bbd8556-84b2-4ebc-ab42-e8394a2bd93a,Village Points Sagaing Region PCode v9.4
a4c6c078-dabd-4b8b-a598-f647885d68af,Village Points Rakhine State PCode v9.4
49601134-f3b8-484f-8e7b-b0ae7594eda2,Village Points Nay Pyi Taw Union Territory PCode v9.4
58c52821-428e-4870-9c23-d9c08740be8e,Village Points Mon State PCode v9.4
97610d60-6c24-424c-833a-b932bfd81b95,Village Points Magway Region PCode v9.4
29c51604-6331-4213-a121-5c60cf928012,Village Points Mandalay Region PCode v9.4
b3df5d42-2377-4636-981c-63c5432101eb,Village Points Kayin State PCode v9.4
f18eedab-d3c6-47d9-8235-1e4ee2612339,Village Points Kayah State PCode v9.4
c1bb2dce-ba4d-4ba4-8d4b-9b685270650b,Village Points Kachin State PCode v9.4
dcc50744-6d5c-47b4-90a1-88ae1104c848,Village Points Chin State PCode v9.4
e39b2422-4b8a-42a6-9378-675cee255067,Village Points Bago Region PCode v9.4
450f7feb-1446-42d9-b9b5-75f953620c47,Village Points Ayeyarwady Region PCode v9.4
cd0aae8f-344e-4c68-aee5-a54f3081173d,Myanmar Town Points PCode v9.4
a8d71376-1dad-4783-8b63-6d477e805e14,Yangon Region Village Tract Boundaries MIMU v9.4
d1a266bd-485a-4894-aa15-cfbd84e70731,Tanintharyi Region Village Tract Boundaries MIMU v9.4
4b35710d-b744-4f89-ae95-71866f57cae4,Shan State Village Tract Boundaries MIMU v9.4
add55a95-4d71-4a13-a3c6-f4d837c4e2e9,Sagaing Region Village Tract Boundaries MIMU v9.4
6746a928-135a-4d14-8880-148ddb65e8db,Rakhine State Village Tract Boundaries MIMU v9.4
2dd1aef7-8f57-4bbb-ac05-5329e0430699,Nay Pyi Taw Union Territory Village Tract Boundaries MIMU v9.4
328bb85e-1f99-4d84-9f21-fca5c68a28c9,Mon State Village Tract Boundaries MIMU v9.4
a0748b18-0496-4197-b84a-323cc2e106a8,Magway Region Village Tract Boundaries MIMU v9.4
859e60c9-adfe-4c64-a24e-2abd4965300c,Mandalay Region Village Tract Boundaries MIMU v9.4
cd8b5454-6ae4-4924-8f52-fb492e23ddae,Kayin State Village Tract Boundaries MIMU v9.4
017fbbb2-25b5-4421-8da1-66b336e4873e,Kayah State Village Tract Boundaries MIMU v9.4
6f0b2cc1-ebf8-4420-81f8-8053b011e823,Kachin State Village Tract Boundaries MIMU v9.4
67497c1c-bafe-4347-863a-20de4bc5eb9f,Chin State Village Tract Boundaries MIMU v9.4
b35cd323-7662-47e9-b615-b631b2fc774d,Bago Region Village Tract Boundaries MIMU v9.4
3531ba85-2910-4ff8-8446-2812b5589139,Ayeyarwady Region Village Tract Boundaries MIMU v9.4
aa5ca687-7c92-4ea9-9980-25b518efeb59,Myanmar Self Administered Regions Boundaries MIMU v9.4
a9b1ab8f-8aed-4f78-b4ad-2638176e2927,Myanmar Ward Boundaries MIMU v9.4
4240673d-33e0-4e45-b8c5-2eadde2ebb22,Myanmar Township Boundaries MIMU v9.4
