Action,Notes,title,key,Org,count,Matches,Unmatched,Names
,,FAO - Food Security Indicators,data series,Food and Agriculture Organization (FAO),207,none|125,5557eb46-949d-4eb8-9f10-b93e0e04ff84,Türkiye - Food Security and Nutrition Indicators
,,WHO - WHO Health Indicators,data series,World Health Organization,200,none|11,f02860b9-4650-45a1-b540-f95a158ce0e2,Wallis and Futuna Islands - Health Indicators
,,Kontur - Administrative Division with Aggregated Population,data series,Kontur,243,none|83,18e11db2-6d7e-49d7-9d9e-65ba64052571|7fe46b58-7bee-46fa-b780-d99beb3d5cbb|09885a29-fe86-4a52-9739-401d6442dd61|628a63c5-0c05-4704-bcb1-c6c358d3f09e|64a6a78b-c1af-4169-9741-3770e2d8b925,State of Palestine: Administrative Division with Aggregated Population,Svalbard and Jan Mayen Islands: Administrative Division with Aggregated Population,Western Sahara: Administrative Division with Aggregated Population,Wallis and Futuna Islands: Administrative Division with Aggregated Population,United States Minor Outlying Islands (the): Administrative Division with Aggregated Population
,,UNHCR - Post-Distribution Monitoring of Cash-Based Intervention,data series,UNHCR - The UN Refugee Agency,22,none|112,b488490f-2121-465e-9c10-e7bf1ddfb06c,Nepal - Post-Distribution Monitoring of Cash-Based Interventions 2022
,,UNHCR - Post Distribution Monitoring of Non-Food Items,data series,UNHCR - The UN Refugee Agency,6,none|93,6a155c6b-5009-430a-9a63-c770b083686c,"Bangladesh - Post-Distribution Monitoring of Non-Food Items, 2022"
,,OCHA FTS - Humanitarian Response Plan Projects,data series,OCHA Financial Tracking System (FTS),48,none|8,e86144fb-8f79-42c9-b59f-926817b1b1ee,Humanitarian Response Plan projects for Slovakia
,,HOTOSM - Populated Places,data series,Humanitarian OpenStreetMap Team (HOT)|Humanitarian OpenStreetMap Team (HOT),385,none|17,535d14f4-d9b7-4870-a50a-734c482ac97a,HOTOSM Mongolia Populated Places (OpenStreetMap Export)
,,iMMAP - ,excluded,iMMAP,11,none|67,4954be6a-7c0e-4f1e-af85-f01d45d86cab,Diagnóstico de Necesidades y Capacidades en Manejo y Analítica de Información
,,HOTOSM - Roads,data series,Humanitarian OpenStreetMap Team (HOT),384,none|24,e5aa7dec-8d33-474d-ade6-7887e7552866,HOTOSM Mongolia Roads (OpenStreetMap Export)
,,HOTOSM - Railways,data series,Humanitarian OpenStreetMap Team (HOT)|Humanitarian OpenStreetMap Team (HOT),384,none|15,e49aa7a9-1b35-4c16-9412-62e8006b2d80,HOTOSM Mongolia Railways (OpenStreetMap Export)
,,COD - Populated Places - Settlements,data series,OCHA Field Information Services Section (FISS),25,none|77,211460f4-06e0-4edb-afcd-e8ce053f5176|c0be16f8-aaba-4653-9fbf-ecbd732eb0c7,Türkiye - Elazig province populated places,Haiti administrative level 0-3 gazetteer
,,HOTOSM - Financial Services,data series,Humanitarian OpenStreetMap Team (HOT)|Humanitarian OpenStreetMap Team (HOT),385,none|16,f71038fc-ca1a-4f0c-ac10-289779393f22,HOTOSM Mongolia Financial Services (OpenStreetMap Export)
,,HOTOSM - Health Facilities,data series,Humanitarian OpenStreetMap Team (HOT),384,none|18,2e970356-d365-49fb-908d-dc1f50b781a5,HOTOSM Mongolia Health Facilities (OpenStreetMap Export)
,,HOTOSM - Education Facilities,data series,Humanitarian OpenStreetMap Team (HOT)|Humanitarian OpenStreetMap Team (HOT),385,none|19,974b17a4-59b7-402c-a518-92054f95c865,HOTOSM Mongolia Education Facilities (OpenStreetMap Export)
,,HOTOSM - Sea Ports,data series,Humanitarian OpenStreetMap Team (HOT)|Humanitarian OpenStreetMap Team (HOT),385,none|20,ebbca820-f80e-464a-b3d7-e816a6672f96,HOTOSM Mongolia Sea Ports (OpenStreetMap Export)
,,HOTOSM - Airports,data series,Humanitarian OpenStreetMap Team (HOT)|Humanitarian OpenStreetMap Team (HOT),385,none|21,8ee01f95-955b-4df1-acd0-ed6986a9a57c,HOTOSM Mongolia Airports (OpenStreetMap Export)
,,HOTOSM - Points of Interest,data series,Humanitarian OpenStreetMap Team (HOT)|Humanitarian OpenStreetMap Team (HOT),385,none|22,85ded2a1-dc94-4d96-b8b4-73fac108e0e8,HOTOSM Mongolia Points of Interest (OpenStreetMap Export)
,,HOTOSM - Waterways,data series,Humanitarian OpenStreetMap Team (HOT)|Humanitarian OpenStreetMap Team (HOT)|Humanitarian OpenStreetMap Team (HOT),385,none|23,9a38f2ad-39e3-46d7-acd9-fd1d74a8a07d,HOTOSM Mongolia Waterways (OpenStreetMap Export)
,,HOTOSM - Buildings,data series,Humanitarian OpenStreetMap Team (HOT)|Humanitarian OpenStreetMap Team (HOT),378,none|14,a8178e04-ce55-4bbf-9932-f2e41b8994ac|b15db02a-9fe7-49bf-8741-e585ef7c570b,Ushahidi Handwashing Station Data in Indonesia,HOTOSM Mongolia Buildings (OpenStreetMap Export)
,,HOTOSM - Buildings,data series,Humanitarian OpenStreetMap Team (HOT),378,none|14,b15db02a-9fe7-49bf-8741-e585ef7c570b,HOTOSM Mongolia Buildings (OpenStreetMap Export)
,,HOTOSM - Railways,data series,Humanitarian OpenStreetMap Team (HOT),384,none|15,e49aa7a9-1b35-4c16-9412-62e8006b2d80,HOTOSM Mongolia Railways (OpenStreetMap Export)
,,HOTOSM - Financial Services,data series,Humanitarian OpenStreetMap Team (HOT),385,none|16,f71038fc-ca1a-4f0c-ac10-289779393f22,HOTOSM Mongolia Financial Services (OpenStreetMap Export)
,,HOTOSM - Education Facilities,data series,Humanitarian OpenStreetMap Team (HOT),385,none|19,974b17a4-59b7-402c-a518-92054f95c865,HOTOSM Mongolia Education Facilities (OpenStreetMap Export)
,,HOTOSM - Sea Ports,data series,Humanitarian OpenStreetMap Team (HOT),385,none|20,ebbca820-f80e-464a-b3d7-e816a6672f96,HOTOSM Mongolia Sea Ports (OpenStreetMap Export)
,,HOTOSM - Airports,data series,Humanitarian OpenStreetMap Team (HOT),385,none|21,8ee01f95-955b-4df1-acd0-ed6986a9a57c,HOTOSM Mongolia Airports (OpenStreetMap Export)
,,HOTOSM - Points of Interest,data series,Humanitarian OpenStreetMap Team (HOT),385,none|22,85ded2a1-dc94-4d96-b8b4-73fac108e0e8,HOTOSM Mongolia Points of Interest (OpenStreetMap Export)
,,HOTOSM - Waterways,data series,Humanitarian OpenStreetMap Team (HOT),385,none|23,9a38f2ad-39e3-46d7-acd9-fd1d74a8a07d,HOTOSM Mongolia Waterways (OpenStreetMap Export)
,,COD - Subnational Administrative Boundaries,data series,OCHA Sudan,115,none|12,e0ce199b-295f-4feb-b155-e3cf0f84705a|af5dee92-be5e-4d02-bbcf-37b44e4025fb,Sudan :  Administrative line boundaries 1,Sudan Administative line boundaries 2
