Action,Notes,title,key,Org,count,Matches,Unmatched,Names
,,,,OCHA South Sudan,,none,cdd62bd9-e442-4eac-9b44-cfee8bf79153,South Sudan - Subnational Administrative Boundaries
,,,,OCHA South Sudan,,none,5116cb9f-5db8-4f56-9766-735d88dcbbfa,South Sudan - Subnational Population Statistics
,,,,UNFPA,,none,dbfd14c4-0ef3-44fc-be1f-d9d2d7b4a0d6,Bermuda - Subnational Population Statistics
,,,,OCHA Field Information Services Section (FISS),,none,9d48b019-3dd3-4284-ac11-200a70370447,Pakistan - Subnational Population Statistics
,,COD - Subnational Population Statistics,data series,OCHA West and Central Africa (ROWCA),75,none|13,53d768e8-7a66-438c-abcb-8393fa74adf8,Côte d'Ivoire - Subnational Population Statistics
,,,,OCHA Office of the Pacific Islands,,none,a1a30440-d7ab-4e22-8636-ef717a20be5d,Micronesia (Federated States of) - Subnational Population Statistics
,,,,OCHA Regional Office for Asia and the Pacific (ROAP),,none,855354a5-f090-4bb2-8e65-e25d156d9693|0b26b6ed-8bcb-4c9a-9c69-ba3df48162c4|53e6df8b-ca6e-42b8-a13a-d16e033865eb|4d9c1179-ddda-4b66-8989-7574a5c008a5,Marshall Islands - Subnational Population Statistics,Democratic People's Republic of Korea - Subnational Population Statistics,Solomon Islands - Subnational Population Statistics,Fiji - Subnational Population Statistics
,,,,OCHA ROCCA (Closed),,none,7c38a699-d5e5-4972-8090-c676d299d4ea|3320ad0a-1350-4eab-942e-c7b517e4dca1,Kyrgyzstan - Subnational Population Statistics,Azerbaijan - Subnational Population Statistics
,,,,OCHA Latin America and the Caribbean (ROLAC),,none,d6655bd6-4213-4b83-b394-e23a80a9dada,Jamaica - Subnational Population Statistics
,,,,OCHA Middle East and North Africa (ROMENA),,none,07f4ec78-42c7-4606-ae62-4f1bff918c45,Iran (Islamic Republic of) - Subnational Population Statistics
,,,,OCHA ROCCA (Closed),,none,448e3320-d3bf-4f85-bc55-b173602579a6,Georgia - Subnational Population Statistics
,,,,OCHA Regional Office for Southern and Eastern Africa (ROSEA),,none,fcc9ea5a-3e1c-4588-a511-91b89697794c|0b6ce366-8651-43aa-8c36-9f3fdc8d6b4f|4dccd58f-22c6-4d82-ac14-aa5de5c327ae,Mauritius - Subnational Population Statistics,Madagascar - Subnational Population Statistics,Seychelles - Subnational Population Statistics
,,,,OCHA Field Information Services Section (FISS),,none,5f76d06a-70f6-4cc4-a0f2-d9da9342fc06|e3c4720b-86cf-44d2-9edd-e9179363d6ae|6514105a-b234-4b8c-856e-103cc5ea48bd,Papua New Guinea - Subnational Population Statistics,Puerto Rico - Subnational Population Statistics,Saint Vincent and The Grenadines - Subnational Population Statistics
,,,,OCHA West and Central Africa (ROWCA),,none,c686be28-1858-44e9-a44b-598ce32ca20b,Senegal - Subnational Population Statistics
,,,,OCHA Field Information Services Section (FISS),,none,f5b5b7cd-7e6b-4c04-841e-75a0a656932d,Sint Maarten (Dutch part) - Subnational Population Statistics
,,,,UNFPA,,none,f8075c2a-7c31-49c1-9aa8-925a271d4de2,Cabo Verde - Subnational Population Statistics
,,,,OCHA Syria,,none,356a63e9-90aa-4b9c-a938-58ef24469c00,Syrian Arab Republic - Subnational Administrative Boundaries
,,,,OCHA Somalia,,none,6cac9c64-2716-4809-9e82-440839d421f6,Somalia - Subnational Population Statistics
,,,,UNFPA Philippines,,none,361f98d4-c1bb-496d-ab86-a6c3f40a6170,Common Operational Datasets for Humanitarian and Development v2.3: Philippines
,,,,OCHA West and Central Africa (ROWCA),,none,944d6072-f333-4da5-87a7-7516f197a7c2,Guinea - Subnational Population Statistics
,,OCHA - Subnational Edge-matched Administrative Boundaries,data series,OCHA Field Information Services Section (FISS),30,none|30,f10db463-110f-4772-8fd8-105bf095ed8b,Dominica - Subnational Population Statistics
,,,,OCHA Regional Office for Southern and Eastern Africa (ROSEA),,none,46b79d47-0667-4baa-8d69-468b208855ed,Mozambique - Subnational Population Statistics
,,,,OCHA Mali,,none,ce21c7db-d8f0-40f8-adc2-452d2d2d105c,Mali - Subnational Population Statistics
,,,,OCHA Niger,,none,d5687df7-7163-42c7-a483-4e6dc0c569b4,Niger - Subnational Population Statistics
,,,,OCHA Regional Office for Southern and Eastern Africa (ROSEA),,none,ac1e22fd-a89d-45d8-ad05-d6282ac4ffce,Djibouti - Subnational Population Statistics
,,,,UNFPA,,none,6db7ad28-a1e6-444c-b5d8-7eb1094f3575,Myanmar - Subnational Population Statistics
,,,,UNFPA,,none,61e643bc-e36d-4106-8815-4b952fc40e9c,Burundi - Subnational Population Statistics
,,,,OCHA Regional Office for Asia and the Pacific (ROAP),,none,0a27693a-c453-4320-8d89-6b75025e1ac2,Timor-Leste - Subnational Population Statistics
,,,,OCHA Field Information Services Section (FISS),,none,e73a2b15-3947-42c2-a8b0-4e4b442af6d2,Uzbekistan - Subnational Population Statistics
,,,,OCHA Venezuela,,none,5c74e336-3162-44da-8c52-d4818c31c37b,Venezuela (Bolivarian Republic of) - Subnational Population Statistics
,,,,OCHA Ukraine,,none,019de7ad-8043-4755-b1fb-f84ce4b961a5,Ukraine: Humanitarian Needs Overview
,,,,OCHA Regional Office for Southern and Eastern Africa (ROSEA),,none,d50f2b35-5819-414a-93a5-7e30d036f958,Eritrea - Subnational Population Statistics
,,,,UNFPA,,none,770386b0-d7c6-4ea7-abbc-beccac38c192,Cambodia - Subnational Population Statistics
,,,,UNFPA,,none,008e23ea-9d98-482e-bc1e-555b32b44715,Tajikistan - Subnational Population Statistics
,,,,OCHA Central African Republic,,none,d3600c4b-d93d-4ed0-b7b1-359a060b916a,Central African Republic - Subnational Population Statistics
,,,,OCHA Latin America and the Caribbean (ROLAC),,none,6fb65c8a-4681-4c0d-b82e-83467bc497be,Anguilla - Subnational Population Statistics
,,,,OCHA Democratic Republic of the Congo (DRC),,none,d1160fa9-1d58-4f96-9df5-edbff2e80895,Democratic Republic of the Congo - Subnational Population Statistics
,,,,UNFPA,,none,e8db7923-6cd2-4974-ad57-14a157978cfd,Cameroon - Subnational Population Statistics
,,,,OCHA Regional Office for Asia and the Pacific (ROAP),,none,fdf0606c-8a3b-421a-b3e8-903301e5b2ff,Bangladesh - Subnational Population Statistics
,,,,OCHA Burkina Faso,,none,a8e69c6c-16fc-4983-92ee-e04e8960b51f,Burkina Faso - Subnational Population Statistics
,,,,OCHA Afghanistan,,none,17acb541-9431-409a-80a8-50eda7e8ebab,Afghanistan - Subnational Population Statistics
,,,,OCHA Yemen,,none,8196baf9-c8a0-4608-a5fb-d70cca3fda11,Yemen : Humanitarian Needs Overview
,,,,UNFPA,,none,a7c3de5e-ff27-4746-99cd-05f2ad9b1066,Nigeria - Subnational Population Statistics
,,,,UNFPA,,none,8520e386-9263-48c9-b1bf-b2349e019fbb|4acece15-fd70-455f-b1b7-c63cf0793352|5e60290d-0a82-48e2-9454-812b01c7d9d4,Colombia - Subnational Population Statistics,Zimbabwe - Subnational Population Statistics,Chad - Subnational Population Statistics
,,,,OCHA Haiti,,none,780d9bc7-c2c9-4dd3-9458-887e35b44698,Haiti: Humanitarian Needs Overview
,,,,OCHA Iraq,,none,1095c875-00e2-44ce-911f-7e9e285ecfc5,Iraq - Humanitarian Needs Overview
,,,,OCHA Field Information Services Section (FISS),,none,977eaced-8dde-4d9c-ac7c-80f6d5df5db2,Ukraine - Subnational Gazetteer
,,,,Regional IM Working Group - Europe,,none,ac768a5c-db29-4872-9792-bd3179e29c45,Türkiye - Subnational Administrative Boundaries
,,,,OCHA Afghanistan,,none,f06dad13-b38b-4659-ab9f-75c0d5152b33,Afghanistan: Humanitarian Needs Overview
,,,,OCHA Democratic Republic of the Congo (DRC),,none,3eab7ed8-d4df-4ba7-8848-c5a0e121421d,Democratic Republic of the Congo: Humanitarian Needs Overview
,,,,OCHA Democratic Republic of the Congo (DRC),,none,8e404195-37b1-43e2-8506-764037af6044,RDC - Statistiques des populations par zones de santé
,,,,OCHA Middle East and North Africa (ROMENA),,none,a28f399f-482c-4e62-8dbf-d2c12381674a|569beba7-bad7-4951-a19d-468a035461cd,Kuwait - Subnational Administrative Boundaries,Lebanon - Subnational Administrative Boundaries
,,,,OCHA Field Information Services Section (FISS),,none,26fa506b-0727-4d9d-a590-d2abee21ee22,Madagascar - Subnational Administrative Boundaries
,,,,OCHA Office of the Pacific Islands,,none,723b5226-781a-4aee-9718-37e3fbddd886,Tonga - Subnational Administrative Boundaries
,,,,Regional IM Working Group - Europe,,none,df46bb71-238c-4c04-98a6-f9f0333deac6,Turkey Refugee Camps
,,,,Regional IM Working Group - Europe,,none,76cc978a-0c03-479d-b6f0-60ae326616d3,Turkey Rivers
,,,,OCHA Niger,,none,5d17ed45-74a6-4417-9801-6935dcdc9c86,Niger - Settlements
,,,,OCHA West and Central Africa (ROWCA),,none,d8d992f3-5374-448f-a3d5-bed7c1925a11,Gabon - Subnational Administrative Boundaries
,,,,OCHA Mali,,none,1542b2e2-ffd1-4835-bc6f-a9e6dcf7421d,Mali - Settlements
,,,,OCHA Mali,,none,f24cd828-1d81-427f-9f5a-c569f781b3a4,Mali: Bamako Roads Network
,,,,OCHA Middle East and North Africa (ROMENA),,none,fd9fb749-5b68-4942-b5f9-115f20b5c00e,Libya - Subnational Administrative Boundaries
,,,,OCHA Burkina Faso,,none,3a755454-a3c8-49ed-a30a-0cf2c658fd69,Burkina Faso: Settlements
,,,,OCHA Philippines,,none,caf116df-f984-4deb-85ca-41b349d3f313,Philippines - Subnational Administrative Boundaries
,,,,OCHA Mali,,none,d2ec62bb-5a93-436d-8297-88b3ee9b6818,Mali - Subnational Administrative Boundaries
,,,,OCHA Field Information Services Section (FISS),,none,04a2f6c1-ffba-49d3-91e8-9bf80068ac05|c0be16f8-aaba-4653-9fbf-ecbd732eb0c7|09ae7d6c-9ed4-4aa6-89ad-1297d8c4fe80|cc48a305-0a4d-4bd2-a603-1f866c45e3fa,Philippines administrative level 2 capital cities,Haiti administrative level 0-3 gazetteer,Dominica populated places,Democratic Republic of the Congo - major cities
,,,,OCHA Ethiopia,,none,cb58fa1f-687d-4cac-81a7-655ab1efb2d0,Ethiopia - Subnational Administrative Boundaries
,,,,OCHA West and Central Africa (ROWCA),,none,b59b17f3-a3c7-45c0-a61d-539a01180494,Gambia - Subnational Population Statistics
,,,,OpenStreetMap RDC,,none,edbd7a16-55e8-4288-8454-f682066af270,Zones de santé (RDC) / Health zones (DRC)
,,,,UNFPA,,none,43f7b2c0-16b1-4b5f-bd74-4c2178d8c971,Municipal Population Projections of Guatemala by Age and Sex 2015-2030
,,,,OCHA Iraq,,none,9f04c93c-6696-45ef-bc12-b747daa1b4a5,Iraq - Water Courses (Rivers and Streams)
,,,,OCHA Iraq,,none,3506058f-565a-4ad3-8498-ac2e32dfe2ef,Iraq - Water Bodies (Lakes and Ponds)
,,,,OCHA Iraq,,none,93170987-276d-4526-9e3d-c982759d8eba,"Iraq - Populated Places (Cities, Villages, Towns)"
,,,,OCHA West and Central Africa (ROWCA),,none,c188d79c-fc74-44dd-aa46-adebb6b340d5,Sahel - Subnational Administrative Boundaries
,,,,OCHA occupied Palestinian territory (oPt),,none,f39a738d-9393-45bd-8e58-a0eca04f5470,State of Palestine - Hydrography
,,,,OCHA Latin America and the Caribbean (ROLAC),,none,70ca85b0-336a-407e-b9e5-f32a7e4840d0|50ea7fee-f9af-45a7-8a52-abb9c790a0b6|ab3c7592-3b0c-41cd-999a-2919a6b243f2,Chile - Subnational Administrative Boundaries,Colombia - Subnational Administrative Boundaries,Ecuador - Subnational Administrative Boundaries
,,,,OCHA Philippines,,none,841c1c45-1a12-43a3-b5a9-8aaefd9afc57,Philippines 2015 Census Population by Admin4(Barangay)
,,,,OpenStreetMap RDC,,none,c9cfe96c-bd95-484a-b950-53cef508011e,Limites de la RDC et de 20 pays avoisinants / DRC and neighbouring countries
,,,,OCHA Office of the Pacific Islands,,none,67887590-51b0-4d98-bc12-666ebedf7704|156a0966-1e09-455c-9e4f-e68676aa2fbf,Vanuatu - Subnational Administrative Boundaries,Kiribati - Subnational Administrative Boundaries
,,,,OCHA Somalia,,none,ec140a63-5330-4376-a3df-c7ebf73cfc3c,Somalia - Subnational Administrative Boundaries
,,,,OCHA ROCCA (Closed),,none,66f56d39-3f19-4798-a0df-a0ed9a4836ea|afb05759-c3da-44f4-93a1-6bd2d8bcd431,Uzbekistan - Subnational Administrative Boundaries,Kazakhstan - Subnational Administrative Boundaries
