Action,Notes,title,key,Org,count,Matches,Unmatched,Names
,,FAO - Food Prices,data series,Food and Agriculture Organization (FAO),220,none|2,128b1dc3-92a2-495b-bd81-a5fc7770fa6d|cc915d2c-1872-4503-afff-5fe89e20f178|2dfb61c2-c012-46bb-a0a7-f7a33b17830c|88846e1e-885f-4fc1-8e4d-8741c4c72bfc|431fe94b-52cc-4aa6-aace-e149ce58d726|1474a712-c47f-4dfe-907c-88cfec623d60|e1f0ecd6-63ae-4661-93c9-81a4e8a0f77a|ee217c8f-37f1-4d93-a38c-dc923c9f0c79,Holy See - Prices,Saint Pierre and Miquelon - Prices,Saint Martin (French part) - Prices,Jersey - Prices,Isle of Man - Prices,Gibraltar - Prices,Faroe Islands - Prices,French Southern and Antarctic Territories - Prices
,,WFP - Food Prices,data series,WFP - World Food Programme,102,none|3,
,,OCHA Financial Tracking System (FTS) - Requirements and Funding Data,data series,OCHA Financial Tracking System (FTS),222,none|4,
,,Integrated Food Security Phase Classification (IPC) - Acute Food Insecurity Classification,data series,Integrated Food Security Phase Classification (IPC),30,none|7,
,,Globhe Drones - Post Tropical Storm Chalane Mapping,data series,Globhe Drones,5,none|31,
,,Our Airports - Airports,data series,OurAirports,231,none|32,
,,Data for Good at Meta - High Resolution Population Density Maps + Demographic Estimates,data series,Data for Good at Meta (previously Facebook),190,none|27,
,,UNHCR - The UN Refugee Agency - Data on forcibly displaced populations and stateless persons,data series,UNHCR - The UN Refugee Agency,215,none|65,
,,HDX - COVID-19 Subnational Cases,data series,HDX,9,none|9,
,,"World Bank - Economic, Social, Environmental, Health, Education, Development and Energy",data series,World Bank Group,211,none|33,5cb24a1b-d53d-4b15-b2d1-b87df36e5fa3,"Czechia - Economic, Social, Environmental, Health, Education, Development and Energy"
,,World Bank - Trade,data series,World Bank Group,216,none|34,1d61f53a-878c-4421-8afb-3d1aa68677ee,Czechia - Trade
,,World Bank - Economic and Social development,data series,World Bank Group,1295,none|35,0d7982fb-4c62-4a04-b7ac-8e5890fb6f38|e7c71a44-cf49-4979-a74a-a82ef4c0af00|14e0a11e-5f80-444a-bcac-4d80586022ee|7ad1ebf6-438d-4e6a-8861-08d2c53a4ba0|76bb007d-b6a3-4fab-8ebc-99f7cdac94ff|c3eedde3-c398-428b-a40d-6e32837556ef,Czechia - External Debt,Czechia - Science and Technology,Czechia - Public Sector,Czechia - Private Sector,Czechia - Financial Sector,Czechia - Economy and Growth
,,World Bank - Climate Change,data series,World Bank Group,217,none|36,29fda413-90d9-4326-a3fa-3b1dd9188894,Czechia - Climate Change
,,World Bank - Millenium development goals,data series,World Bank Group,109,none|37,974ada2a-f6fe-4ff9-9211-0fc30587b8a1,Czechia - Millenium development goals
,,World Bank - Gender,data series,World Bank Group,217,none|38,ee43ffb8-1cf2-44b1-ab2b-1093755aa60a,Czechia - Gender
,,World Bank - Development,data series,World Bank Group,433,none|39,986f8b74-e9a2-4c93-abf1-96ea2cb18f15|73952c87-3f0d-499d-9161-c3addec100e9,Czechia - Urban Development,Czechia - Social Development
,,World Bank - Poverty,data series,World Bank Group,181,none|40,26e2a563-d7ad-4c43-937a-17408b61ad94,Czechia - Poverty
