Action,Notes,title,key,Org,count,Matches,Unmatched,Names,,,
Approved,,,,OCHA South Sudan,,12,cdd62bd9-e442-4eac-9b44-cfee8bf79153,South Sudan - Subnational Administrative Boundaries,,,
Approved,,,,OCHA South Sudan,,13,5116cb9f-5db8-4f56-9766-735d88dcbbfa,South Sudan - Subnational Population Statistics,,,
Approved,,,,UNFPA,,13,dbfd14c4-0ef3-44fc-be1f-d9d2d7b4a0d6,Bermuda - Subnational Population Statistics,,,
Approved,,,,OCHA Field Information Services Section (FISS),,13,9d48b019-3dd3-4284-ac11-200a70370447,Pakistan - Subnational Population Statistics,,,
Approved,,COD - Subnational Population Statistics,data series,OCHA West and Central Africa (ROWCA),75,13,53d768e8-7a66-438c-abcb-8393fa74adf8,Côte d'Ivoire - Subnational Population Statistics,,,
Approved,,,,OCHA Office of the Pacific Islands,,13,a1a30440-d7ab-4e22-8636-ef717a20be5d,Micronesia (Federated States of) - Subnational Population Statistics,,,
Approved,,,,OCHA Regional Office for Asia and the Pacific (ROAP),,13,855354a5-f090-4bb2-8e65-e25d156d9693|0b26b6ed-8bcb-4c9a-9c69-ba3df48162c4|53e6df8b-ca6e-42b8-a13a-d16e033865eb|4d9c1179-ddda-4b66-8989-7574a5c008a5,Marshall Islands - Subnational Population Statistics,Democratic People's Republic of Korea - Subnational Population Statistics,Solomon Islands - Subnational Population Statistics,Fiji - Subnational Population Statistics
Approved,,,,OCHA ROCCA (Closed),,13,7c38a699-d5e5-4972-8090-c676d299d4ea|3320ad0a-1350-4eab-942e-c7b517e4dca1,Kyrgyzstan - Subnational Population Statistics,Azerbaijan - Subnational Population Statistics,,
Approved,,,,OCHA Latin America and the Caribbean (ROLAC),,13,d6655bd6-4213-4b83-b394-e23a80a9dada,Jamaica - Subnational Population Statistics,,,
Approved,,,,OCHA Middle East and North Africa (ROMENA),,13,07f4ec78-42c7-4606-ae62-4f1bff918c45,Iran (Islamic Republic of) - Subnational Population Statistics,,,
Approved,,,,OCHA ROCCA (Closed),,13,448e3320-d3bf-4f85-bc55-b173602579a6,Georgia - Subnational Population Statistics,,,
Approved,,,,OCHA Regional Office for Southern and Eastern Africa (ROSEA),,13,fcc9ea5a-3e1c-4588-a511-91b89697794c|0b6ce366-8651-43aa-8c36-9f3fdc8d6b4f|4dccd58f-22c6-4d82-ac14-aa5de5c327ae,Mauritius - Subnational Population Statistics,Madagascar - Subnational Population Statistics,Seychelles - Subnational Population Statistics,
Approved,,,,OCHA Field Information Services Section (FISS),,13,5f76d06a-70f6-4cc4-a0f2-d9da9342fc06|e3c4720b-86cf-44d2-9edd-e9179363d6ae|6514105a-b234-4b8c-856e-103cc5ea48bd,Papua New Guinea - Subnational Population Statistics,Puerto Rico - Subnational Population Statistics,Saint Vincent and The Grenadines - Subnational Population Statistics,
Approved,,,,OCHA West and Central Africa (ROWCA),,13,c686be28-1858-44e9-a44b-598ce32ca20b,Senegal - Subnational Population Statistics,,,
Approved,,,,OCHA Field Information Services Section (FISS),,13,f5b5b7cd-7e6b-4c04-841e-75a0a656932d,Sint Maarten (Dutch part) - Subnational Population Statistics,,,
Approved,,,,UNFPA,,13,f8075c2a-7c31-49c1-9aa8-925a271d4de2,Cabo Verde - Subnational Population Statistics,,,
Approved,,,,OCHA Syria,,13,356a63e9-90aa-4b9c-a938-58ef24469c00,Syrian Arab Republic - Subnational Administrative Boundaries,,,
Approved,,,,OCHA Somalia,,13,6cac9c64-2716-4809-9e82-440839d421f6,Somalia - Subnational Population Statistics,,,
,,,,UNFPA Philippines,,none,361f98d4-c1bb-496d-ab86-a6c3f40a6170,Common Operational Datasets for Humanitarian and Development v2.3: Philippines,,,
Approved,,,,OCHA West and Central Africa (ROWCA),,13,944d6072-f333-4da5-87a7-7516f197a7c2,Guinea - Subnational Population Statistics,,,
Approved,,OCHA - Subnational Edge-matched Administrative Boundaries,data series,OCHA Field Information Services Section (FISS),30,13,f10db463-110f-4772-8fd8-105bf095ed8b,Dominica - Subnational Population Statistics,,,
Approved,,,,OCHA Regional Office for Southern and Eastern Africa (ROSEA),,13,46b79d47-0667-4baa-8d69-468b208855ed,Mozambique - Subnational Population Statistics,,,
Approved,,,,OCHA Mali,,13,ce21c7db-d8f0-40f8-adc2-452d2d2d105c,Mali - Subnational Population Statistics,,,
Approved,,,,OCHA Niger,,13,d5687df7-7163-42c7-a483-4e6dc0c569b4,Niger - Subnational Population Statistics,,,
Approved,,,,OCHA Regional Office for Southern and Eastern Africa (ROSEA),,13,ac1e22fd-a89d-45d8-ad05-d6282ac4ffce,Djibouti - Subnational Population Statistics,,,
Approved,,,,UNFPA,,13,6db7ad28-a1e6-444c-b5d8-7eb1094f3575,Myanmar - Subnational Population Statistics,,,
Approved,,,,UNFPA,,13,61e643bc-e36d-4106-8815-4b952fc40e9c,Burundi - Subnational Population Statistics,,,
Approved,,,,OCHA Regional Office for Asia and the Pacific (ROAP),,13,0a27693a-c453-4320-8d89-6b75025e1ac2,Timor-Leste - Subnational Population Statistics,,,
Approved,,,,OCHA Field Information Services Section (FISS),,13,e73a2b15-3947-42c2-a8b0-4e4b442af6d2,Uzbekistan - Subnational Population Statistics,,,
Approved,,,,OCHA Venezuela,,13,5c74e336-3162-44da-8c52-d4818c31c37b,Venezuela (Bolivarian Republic of) - Subnational Population Statistics,,,
,,,,OCHA Ukraine,,HNO,019de7ad-8043-4755-b1fb-f84ce4b961a5,Ukraine: Humanitarian Needs Overview,,,
Approved,,,,OCHA Regional Office for Southern and Eastern Africa (ROSEA),,13,d50f2b35-5819-414a-93a5-7e30d036f958,Eritrea - Subnational Population Statistics,,,
Approved,,,,UNFPA,,13,770386b0-d7c6-4ea7-abbc-beccac38c192,Cambodia - Subnational Population Statistics,,,
Approved,,,,UNFPA,,13,008e23ea-9d98-482e-bc1e-555b32b44715,Tajikistan - Subnational Population Statistics,,,
Approved,,,,OCHA Central African Republic,,13,d3600c4b-d93d-4ed0-b7b1-359a060b916a,Central African Republic - Subnational Population Statistics,,,
