Action,Notes,title,key,Org,count,Matches,Unmatched,Names
,,OCHA FTS - Requirements and Funding Data,data series,OCHA Financial Tracking System (FTS)|OCHA Financial Tracking System (FTS),222,none|4,
,,UNHCR - Post-Distribution Monitoring of Cash-Based Intervention,data series,UNHCR - The UN Refugee Agency,22,none|112,
,,HDX - COVID-19 Subnational Cases,data series,HDX,9,none|9,
,,COD - Subnational Population Statistics,data series,UNFPA,75,none|13,
,,ACLED - Conflict Events,data series,Armed Conflict Location & Event Data Project (ACLED),243,none|10,
,,COD - Subnational Administrative Boundaries,data series,OCHA Venezuela,111,none|12,
,,COD - Subnational Administrative Boundaries,data series,OCHA Yemen,111,none|12,
,,FEWS NET - Medium Term Projection Acute Food Insecurity Classifications Data,data series,FEWS NET,33,none|225,
,,FEWS NET - Near Term Projection Acute Food Insecurity Classifications Data,data series,FEWS NET,33,none|226,
,,FEWS NET - Current Situation Acute Food Insecurity Classifications Data,data series,FEWS NET,28,none|224,
,,COD - Populated Places - Settlements,data series,OCHA Burkina Faso,25,none|77,
,,IPC - Acute Food Insecurity Classification,data series,Integrated Food Security Phase Classification (IPC),30,none|7,
,,Globhe Drones - Post Tropical Storm Chalane Mapping,data series,Globhe Drones,5,none|31,
,,Global.health - Reported COVID-19 Cases,data series,Global.health,5,none|82,
,,Our Airports - Airports,data series,OurAirports,231,none|32,eaf3b7b2-9c4b-4187-a92f-2d0d08ba7694|878c0201-a507-4072-a55c-f440e40fe6bb|5731fa4e-5037-400a-80b0-3933a4354bb8|cafaef72-d022-4ec9-b337-d1ee5afa8501,Airports in Tokelau,Airports in San Marino,Airports in Pitcairn,Airports in Liechtenstein
,,"World Bank - Economic, Social, Environmental, Health, Education, Development and Energy",data series,World Bank Group|World Bank Group|World Bank Group,211,none|33,
,,World Bank - Trade,data series,World Bank Group,216,none|34,
,,World Bank - Climate Change,data series,World Bank Group,217,none|36,
,,World Bank - Millenium development goals,data series,World Bank Group,109,none|37,
,,World Bank - Gender,data series,World Bank Group,217,none|38,
,,World Bank - Development,data series,World Bank Group,433,none|39,
,,World Bank - Poverty,data series,World Bank Group,181,none|40,
,,World Bank - Social Protection and Labor,data series,World Bank Group,215,none|41,
,,World Bank - Infrastructure,data series,World Bank Group,217,none|42,
,,World Bank - Health,data series,World Bank Group,217,none|43,
,,World Bank - Environment,data series,World Bank Group,217,none|44,
,,World Bank - Energy and Mining,data series,World Bank Group,217,none|45,
,,World Bank - Education,data series,World Bank Group,214,none|46,
,,World Bank - Aid Effectiveness,data series,World Bank Group,215,none|47,
,,World Bank - Agriculture and Rural Development,data series,World Bank Group,217,none|48,
,,"World Bank - Economic, Social, Environmental, Health, Education, Development and Energy",data series,World Bank Group,211,none|33,
,,"World Bank - Economic, Social, Environmental, Health, Education, Development and Energy",data series,World Bank Group,211,none|33,
,,FAO - Food Prices,data series,Food and Agriculture Organization (FAO),220,none|2,
,,WFP - Food Prices,data series,WFP - World Food Programme,102,none|3,
,,COD - Subnational Population Statistics,data series,UNFPA|UNFPA|OCHA Latin America and the Caribbean (ROLAC)|OCHA West and Central Africa (ROWCA),75,none|13,
,,COD - Subnational Administrative Boundaries,data series,OCHA Field Information Services Section (FISS),111,none|12,
,,COD - Populated Places - Settlements,data series,OCHA Field Information Services Section (FISS),25,none|77,441e8a6b-3b81-44d3-be8f-452f99b3bf0b|c0be16f8-aaba-4653-9fbf-ecbd732eb0c7,Tunisia - Subnational Edge-matched Administrative Boundaries,Haiti administrative level 0-3 gazetteer
,,Data for Good at Meta - High Resolution Population Density Maps + Demographic Estimates,data series,Data for Good at Meta (previously Facebook)|Data for Good at Meta (previously Facebook)|Data for Good at Meta (previously Facebook)|Data for Good at Meta (previously Facebook)|Data for Good at Meta (previously Facebook)|Data for Good at Meta (previously Facebook),190,none|27,
