WFP - CHIRPS Dekadal Rainfall Indicators at Admin Level 2,
WFP - World Food Programme,
c454f2ed-0d2e-4ca6-a35b-d00220e16fcf,Colombia: Climate Data - CHIRPS Dekadal Rainfall Indicators at Admin Level 2
7907439a-0138-4b8e-a4cf-4f0233e0d694,Yemen: Climate Data - MODIS Dekadal Vegetation Indicators at Admin Level 2
423143be-315f-48d7-9e90-ae23738da564,Ethiopia: Climate Data - CHIRPS Dekadal Rainfall Indicators at Admin Level 2
139b7e9c-3c40-49e0-a44e-0eed6dad46d2,Sudan: Climate Data - CHIRPS Dekadal Rainfall Indicators at Admin Level 2
8acb0ddb-a6cb-452c-8293-f3ca632f7b5b,El Salvador: Climate Data - CHIRPS Dekadal Rainfall Indicators at Admin Level 2
0bc83cbf-d00a-48c7-94e2-f9b558385f34,Ukraine: Climate Data - CHIRPS Dekadal Rainfall Indicators at Admin Level 2
902bd76c-3f3c-42ad-8547-f9c31deb7937,Yemen: Climate Data - CHIRPS Dekadal Rainfall Indicators at Admin Level 2
9bef48d0-a29f-4ce8-9b9d-e6ddaa5a7ad1,Burkina Faso: Climate Data - CHIRPS Dekadal Rainfall Indicators at Admin Level 2
f2598b5c-b309-4c50-bc50-1ff7538b4689,Democratic Republic of the Congo: Climate Data - CHIRPS Dekadal Rainfall Indicators at Admin Level 2
3b5e8a5c-e4e0-4c58-9c58-d87e33520e08,Afghanistan: Climate Data - CHIRPS Dekadal Rainfall Indicators at Admin Level 2
4b4650bf-6faa-4659-adf5-521a8be17bf6,Bangladesh: Climate Data - CHIRPS Dekadal Rainfall Indicators at Admin Level 2
bdbd72b5-e706-44d2-8a3c-7934b7155a42,Honduras: Climate Data - CHIRPS Dekadal Rainfall Indicators at Admin Level 2
dc9bdc85-9982-46c8-80cc-918db6d5320a,Central African Republic: Climate Data - CHIRPS Dekadal Rainfall Indicators at Admin Level 2
c136cc6e-573e-43b3-b7db-6e7e9648fd60,Venezuela (Bolivarian Republic of): Climate Data - CHIRPS Dekadal Rainfall Indicators at Admin Level 2
7ba59686-437a-4b5f-b387-c446aae335b4,Malawi: Climate Data - CHIRPS Dekadal Rainfall Indicators at Admin Level 2
18589fad-1821-482f-8c75-145387b2e00a,Cameroon: Climate Data - CHIRPS Dekadal Rainfall Indicators at Admin Level 2
afbbb424-62d4-4654-908a-606317fb06ca,South Sudan: Climate Data - CHIRPS Dekadal Rainfall Indicators at Admin Level 2
ed6e1b4b-8094-47e6-bdf7-f6d56fa7abb9,Somalia: Climate Data - CHIRPS Dekadal Rainfall Indicators at Admin Level 2
b453999a-19e6-4a3a-92ea-0fff54c82913,Burundi: Climate Data - CHIRPS Dekadal Rainfall Indicators at Admin Level 2
26f9206c-5768-47ef-9cfa-bb9991b47d97,Madagascar: Climate Data - CHIRPS Dekadal Rainfall Indicators at Admin Level 2
275e3ada-0b7d-4e10-9159-ec09970ff9e5,Philippines: Climate Data - CHIRPS Dekadal Rainfall Indicators at Admin Level 2
d490946d-c5e7-4b2c-b398-1066fa190be3,Myanmar: Climate Data - CHIRPS Dekadal Rainfall Indicators at Admin Level 2
7f866980-92df-427d-997d-4aab0bf4f968,Syrian Arab Republic: Climate Data - CHIRPS Dekadal Rainfall Indicators at Admin Level 2
7fd33ae6-57ad-4459-93ea-80033e3aebc5,Niger: Climate Data - CHIRPS Dekadal Rainfall Indicators at Admin Level 2
503fe323-664e-409a-abc4-10c0f4b063e5,Libya: Climate Data - CHIRPS Dekadal Rainfall Indicators at Admin Level 2
ef3ae2e6-1302-4fac-b183-92ff5e78e10d,Nepal: Climate Data - CHIRPS Dekadal Rainfall Indicators at Admin Level 2
ff5dba07-397b-44fb-b04f-bbca782ce793,Nigeria: Climate Data - CHIRPS Dekadal Rainfall Indicators at Admin Level 2
3102d9d7-931c-498b-a957-b698fcb6be67,Guatemala: Climate Data - CHIRPS Dekadal Rainfall Indicators at Admin Level 2
44da9888-81dc-4b9a-b0d9-1d4c2e515318,Mali: Climate Data - CHIRPS Dekadal Rainfall Indicators at Admin Level 2
d55d711c-d2f9-4eb7-af35-235f3ec5ad27,Haiti: Climate Data - CHIRPS Dekadal Rainfall Indicators at Admin Level 2
0c1aafa7-1b2b-454c-b098-283d270d1943,Iraq: Climate Data - CHIRPS Dekadal Rainfall Indicators at Admin Level 2
1caecd73-7e80-49ae-bbf4-cb068fa6f199,Chad: Climate Data - CHIRPS Dekadal Rainfall Indicators at Admin Level 2
