UNICEF Data and Analytics HQ - Schooling attendance and completion rates,
UNICEF Data and Analytics (HQ),
bbe0276c-fa9d-4adb-879e-4ec278316389,Out-of-school rate for youth of upper secondary school age
867da057-e63c-43d9-92b5-a5eafc4bd5b5,Out-of-school rate for adolescents of lower secondary school age
aed66a4e-d24e-45e9-b51b-aa5c0c6c311d,Out-of-school rate for children of primary school age
7eeee274-0f96-435d-af17-a8ed8724f381,Completion rate for youth of upper secondary education school age
9e808423-180e-4c67-9620-f4b68b2f4c3b,Completion rate for adolescents of lower secondary school age
860d0c27-2817-45c8-a7e6-f8bdc82384a8,Adjusted net attendance rate for youth of upper secondary school age
0c2058f8-02e8-41f3-846a-9f17acd72e32,Adjusted net attendance rate for adolescents of lower secondary school age
fbe0537a-fedd-46d6-8dd2-6da6d4b310d5,"Adjusted net attendance rate, one year before the official primary entry age"
121c6bdd-1638-4c46-8842-d89603ad8396,Adjusted net attendance rate for children of primary school age
