Action,Notes,title,key,Org,count,Matches,Unmatched,Names
,,UNHCR - Afghanistan - Voluntary Repatriation,data series,UNHCR Afghanistan,12,none|81,c204b3e1-313c-460f-b148-30f3b9939a10,Afghanistan Voluntary Repatriation 2023
,,HOTOSM - Roads,data series,Humanitarian OpenStreetMap Team (HOT),384,none|24,717a8753-dfd6-4e34-bbc0-c7d14cd9b747|8ddedc12-eca4-420b-b59d-f1c194acf572,HOTOSM Egypt Roads (OpenStreetMap Export),HOTOSM Nepal Roads (OpenStreetMap Export)
,,HOTOSM - Railways,data series,Humanitarian OpenStreetMap Team (HOT)|Humanitarian OpenStreetMap Team (HOT),384,none|15,46bac0a3-f65a-4e5a-b9da-573848fc017a|4ec026c1-2bf2-49f6-9e0e-2788c0cf0291,HOTOSM Mali Railways (OpenStreetMap Export),HOTOSM Nepal Railways (OpenStreetMap Export)
,,UCDP - Data on Conflict Events,data series,HDX,124,none|25,52a91160-7735-4034-93f3-37b67764cbba,Data for the Ukraine Data Explorer
,,Data for Good at Meta - High Resolution Population Density Maps and Demographic Estimates,data series,Data for Good at Meta (previously Facebook)|Data for Good at Meta (previously Facebook)|Data for Good at Meta (previously Facebook)|Data for Good at Meta (previously Facebook)|Data for Good at Meta (previously Facebook)|Data for Good at Meta (previously Facebook),190,none|27,f45181ca-61b0-4132-bc01-52461944c3aa,Jamaica: High Resolution Population Density Maps + Demographic Estimates
,,OCHA Afghanistan - Who does What Where,data series,OCHA Afghanistan,16,none|62,53d029a1-cd50-40d6-96d2-da8f6a92f545,Afghanistan - Who does What Where (October to December 2022)
,,UNHCR - Protection Monitoring,data series,UNHCR - The UN Refugee Agency,10,none|139,db131463-081b-4dea-9247-1945713330c6,Belarus - Protection Profiling and Monitoring - May-Dec 2022
,,UNHCR - Intention to return survey,data series,UNHCR - The UN Refugee Agency,4,none|94,7070557b-00a2-44a2-a9b0-231f4e74981a|7831c84e-9d9d-4a7a-8469-575bb48b27e2,Niger - Intention Survey of Nigerian Refugees in DIFFA Region 2021,Central African Republic - Refugees Reintegration Assessment - Individual - 2019-2020
,,ACLED - Conflict Events,data series,Armed Conflict Location & Event Data Project (ACLED),243,none|10,921fe117-7158-437b-943d-94969d545362|3e6bfc98-f837-495d-b8de-71e5ac026f59|c946742e-cf48-4d8f-8338-4f030768ca14,Civilian Targeting Events and Fatalities,Political Violence Events and Fatalities,Demonstration Events
,,UNOSAT - Wildfires,data series,United Nations Satellite Centre (UNOSAT),12,none|73,c4060e1c-8e31-481d-9fe2-f5a1f67702ca|7693c12a-d630-4340-92ab-975ae6b97b82,"Wildfires in Valparaíso and Metropolitan Regions, Chile as of 29 December 2022","Wildfires in Viña del Mar Commune, Valparaíso Province, Valparaíso Region, Chile as of 29 December 2022"
,,IPC - Acute Food Insecurity Classification,data series,Integrated Food Security Phase Classification (IPC),30,none|7,5e3a8ae5-52a4-408c-929f-689f09f5076e|ee8f4b48-cef5-4e71-a398-b9d525d7bf00,Lebanon: Acute Food Insecurity Country Data,Dominican Republic: Acute Food Insecurity Country Data
,,UNHCR - Peru Flow Monintoring,data series,UNHCR - The UN Refugee Agency,5,none|220,07ccd44c-adf0-4d71-9d68-356ca2c6e650|8b8d99ed-0aae-499d-af52-22c4baaace83|e4b4e169-4ccb-4c4d-b8ba-1c6f3302bd61|9c75ab39-b49e-4e36-94ac-8ea7f267f71a|6e48a4a9-3bb3-40cf-983e-1a3a38151111,"Peru - Flow Monitoring Cusco and Madre de Dios, Q2-Q3 2022","Peru - Flow Monitoring Tacna and Puno, Q2-Q3 2022","Peru - Flow Monitoring Tumbes (Entries), Q2-Q3 2022","Peru - Flow Monitoring Tumbes (Exits), Q2-Q3 2022","Peru - Interagency Flow Monitoring Tacna, 2022"
,,Kontur - Population Density for 400m H3 Hexagons,data series,Kontur,248,none|71,9159a100-8672-4c5b-8162-c24459514bfa,Kontur Population: Global Population Density for 22km H3 Hexagons
,,Oxford Poverty and Human Development Initiative - Global Multidimensional Poverty Index ,data series,Oxford Poverty & Human Development Initiative,99,none|101,6211ec52-61a3-4d8f-a6ce-5e443d9188a7|c2e6c3bb-bb73-4918-910f-0f9a1dc393af,Samoa: subnational poverty,Argentina: subnational poverty
,,Data for Good at Meta - High Resolution Population Density Maps and Demographic Estimates,data series,Data for Good at Meta (previously Facebook),190,none|27,f45181ca-61b0-4132-bc01-52461944c3aa,Jamaica: High Resolution Population Density Maps + Demographic Estimates
,,HOTOSM - Railways,data series,Humanitarian OpenStreetMap Team (HOT),384,none|15,4ec026c1-2bf2-49f6-9e0e-2788c0cf0291,HOTOSM Nepal Railways (OpenStreetMap Export)
,,HOTOSM - Financial Services,data series,Humanitarian OpenStreetMap Team (HOT)|Humanitarian OpenStreetMap Team (HOT),385,none|16,3ddc7596-9cfe-436c-8ad3-1084480ce8e3,HOTOSM Nepal Financial Services (OpenStreetMap Export)
,,HOTOSM - Populated Places,data series,Humanitarian OpenStreetMap Team (HOT)|Humanitarian OpenStreetMap Team (HOT),385,none|17,91d65ebb-853a-4c75-b071-c4076d8c4a6d|b28b65e6-e5a7-4007-8a1e-0654224c1925,"Ecuador OpenStreetMap Extracts, Places",HOTOSM Nepal Populated Places (OpenStreetMap Export)
,,HOTOSM - Health Facilities,data series,Humanitarian OpenStreetMap Team (HOT),384,none|18,92577296-fa5d-41a6-beff-6c688e78e4a5,HOTOSM Nepal Health Facilities (OpenStreetMap Export)
,,HOTOSM - Education Facilities,data series,Humanitarian OpenStreetMap Team (HOT)|Humanitarian OpenStreetMap Team (HOT),385,none|19,57b705e2-b3a4-47d1-877b-78518cf0cfbd,HOTOSM Nepal Education Facilities (OpenStreetMap Export)
,,HOTOSM - Sea Ports,data series,Humanitarian OpenStreetMap Team (HOT)|Humanitarian OpenStreetMap Team (HOT),385,none|20,00290c66-f8d3-4234-a5ac-14570740afbb,HOTOSM Nepal Sea Ports (OpenStreetMap Export)
,,HOTOSM - Airports,data series,Humanitarian OpenStreetMap Team (HOT)|Humanitarian OpenStreetMap Team (HOT),385,none|21,66a80159-0647-403f-986b-69c69cb24a26,HOTOSM Nepal Airports (OpenStreetMap Export)
,,HOTOSM - Points of Interest,data series,Humanitarian OpenStreetMap Team (HOT)|Humanitarian OpenStreetMap Team (HOT),385,none|22,1fcd3093-e454-4cdf-b4d4-5504fb1d896b,HOTOSM Nepal Points of Interest (OpenStreetMap Export)
,,HOTOSM - Waterways,data series,Humanitarian OpenStreetMap Team (HOT)|Humanitarian OpenStreetMap Team (HOT),385,none|23,2b62210a-cd7f-466b-b62e-f036dde34316,HOTOSM Nepal Waterways (OpenStreetMap Export)
,,HOTOSM - Buildings,data series,Humanitarian OpenStreetMap Team (HOT)|Humanitarian OpenStreetMap Team (HOT),378,none|14,1904beb1-da99-4dd7-872d-4d44e33ea58e|f79be311-f82b-4685-b15f-0d03eb2d9d0d,HOTOSM Egypt Buildings (OpenStreetMap Export),HOTOSM South Sudan Buildings (OpenStreetMap Export)
,,HOTOSM - Buildings,data series,Humanitarian OpenStreetMap Team (HOT),378,none|14,f79be311-f82b-4685-b15f-0d03eb2d9d0d,HOTOSM South Sudan Buildings (OpenStreetMap Export)
,,UNHCR - SENS Survey,data series,UNHCR - The UN Refugee Agency,17,none|84,8037656c-f923-4e05-bfcb-a980c4f3aec8,"Cameroon - SENS survey in the Central African refugee sites of the eastern region and Adamou, January and March 2015"
,,OSM - DRC Health Zones,data series,OpenStreetMap RDC,5,none|96,371f85e0-a867-441d-8bb6-4b8b3d85b7e6|15ba34ce-7363-48f6-9891-4031c733c8f3|bde81476-ce4a-45fe-8473-de590aedf919|530078d2-06c9-45c6-9a39-2dabfe88db55,"""Territoires sanitaires"" (RDC) / ""Territory Health"" Divisions (DRC)",Divisions provinciales de la santé (RDC) / Provincial Health Divisions (DRC),"Zone de santé Kalunguta (Nord-Kivu, RDC) / Kalunguta health zone (DRC)",Structures de santé de Goma et Nyiragongo (RDC) / Goma and Nyiragongo health structures (DRC)
,,iMMAP,excluded,iMMAP,7,none|106,1cc80fe6-4d88-4087-a393-2d205f673d1a,Afiliados al Permiso Especial de Permanencia
,,Hub Latin America - Crime in Chile and Ecuador,data series,Hub Latin America,30,none|110,361c5a2e-e013-4682-89b6-90690e7dddb9|bada54b5-600b-4d27-bd1a-3752147fd397|65f32b19-587f-4c8c-b4aa-48d0af338593|486e28da-ef0a-4bd4-862d-177b78e8eb3b|5bae3959-c6a7-4b78-9c49-88e2e9ef60bc|531c3a71-4ede-441d-a17c-af2b4e7a88ed|7ad959f8-f770-4d14-bca9-974a3821d244|28de5b64-5282-4a6e-893c-f4d0f5da174b,Chile: Cases of crimes by domestic violence child in Santiago de Chile,Chile: Cases of crimes by male domestic violence in Santiago de Chile,Chile: Cases of crimes by domestic violence against the elderly in Santiago de Chile,Chile: Cases of crimes by violations in Santiago de Chile,Chile: Cases of crimes by infraction of arms law in Santiago de Chile,Chile: Cases of crime by sexual violence in Santiago de Chile,Brazil: Violent Crimes in Ouro Preto,Ecuador: Sexual violence against children and adolescents in Quito
,,Hub Latin America - Internet Connections,data series,Hub Latin America,6,none|114,57dbf571-41ff-4b29-ac9c-446ab95a249a|477d259d-7f0b-45c1-9e93-18ba09f11790|559ffc39-cb15-471e-b57d-98ac23c7e071,Perú: Telephone Coverage in Cusco,Ecuador: Electricity Consumption in Santa Cruz,Ecuador: Electricity Consumption in Quito
,,UNICEF Eastern and Southern Africa Regional Office - Humanitarian Update,data series,UNICEF Eastern and Southern Africa Regional Office (ESARO),5,none|145,0bc2c0af-18fc-4e8a-aa7e-c8d0d43bf501,UNICEF Eastern and Southern Africa database (Funding - Target and results) August 2017
,,WFP - Food Security Indicators,data series,WFP - World Food Programme,17,none|147,985b35e6-4bab-4332-af04-6b146be55eb5,Market Monitor
,,WFP - Land Degradation,data series,WFP - World Food Programme,13,none|152,30bd3166-6d6e-45d9-b0b7-0b5a6fe4e860,ICA Ecuador - Landslide Hazard
,,WFP - Landslide Risk,data series,WFP - World Food Programme,11,none|154,1967f858-8647-4077-888f-5738e17331c4|8adcfeca-f438-4f10-944d-1184d6a09ef9|1396800b-aac0-49b7-82c2-8160688d4f98,ICA Armenia - Land Degradation,ICA Armenia - Additional Hazards,ICA Afghanistan - Land Degradation
,,UNICEF Data and Analytics HQ - Global sanitation standards,data series,UNICEF Data and Analytics (HQ),14,none|158,7da9d69f-8de8-4692-8d68-6d1fa364dba9,Proportion of population using improved latrines and other improved facilities
,,UNICEF Data and Analytics HQ - Global sanitation standards,data series,UNICEF Data and Analytics (HQ),14,none|158,e3e485b9-efee-4e39-8083-f3522a012641|ac8d33c9-4262-4a0a-9eb0-49a2c372e98b,Proportion of health care facilities with limited sanitation services,Proportion of health care facilities with basic sanitation services
,,UNICEF Data and Analytics HQ - Population statistics,data series,UNICEF Data and Analytics (HQ),8,none|166,b5c25205-cd3b-4d1f-b1f7-56d17462cd92,Per cent of people (aged 15-49 years) expressing discriminatory attitudes towards people living with HIV
,,UNICEF Data and Analytics HQ - Societal support for families and childcare,data series,UNICEF Data and Analytics (HQ),10,none|165,2c1c7d72-e922-4d05-8bc6-5d35f1fbdc06|79ae7662-dce5-4e7e-b233-d2ffc618153a,Percentage of children (aged 5-17 years) engaged in child labour (economic activities),Percentage of children (aged 5-17 years) engaged in child labour (economic activities and household chores)
,,UNICEF Data and Analytics HQ - Birth and Children mortality,data series,UNICEF Data and Analytics (HQ),13,none|161,64c690e2-5835-4e43-9532-11094bd30b25,Infant mortality rate
,,COD - Subnational Administrative Boundaries,data series,OCHA Sudan,111,none|12,00163d6d-1478-4733-9dc3-90b86a00c959,Sudan Administrative boundary level 0
,,Excluded datasets from clustering,excluded,OCHA Regional Office for Southern and Eastern Africa (ROSEA),0,none|0,4b9762f8-553d-42d2-b6a0-11fcd59d988a,Physicians density in Kenya per county
,,,excluded,Myanmar Information Management Unit (MIMU),55,none|134,23c6c259-2d90-4730-9ba3-7dcf0ea7931a,Myanmar Low-Lying Areas
,,HDX - Daily Summaries of Precipitation Indicators,data series,HDX,57,none|193,e5b7b6de-d7c2-4b10-8f5c-f258d7d69d21,Monthly Oceanic Nino Index (ONI)
