Action,Notes,title,key,Org,count,Matches,Unmatched,Names
,,OCHA FTS - Requirements and Funding Data,data series,OCHA Financial Tracking System (FTS)|OCHA Financial Tracking System (FTS),222,none|4,c56c36f9-a20d-4e67-80bf-9248040430b7|21a02fae-9338-48dc-ac60-8b59d5afbbc0,Isle of Man - Requirements and Funding Data,Faroe Islands - Requirements and Funding Data
,,IPC - Acute Food Insecurity Classification,data series,Integrated Food Security Phase Classification (IPC),30,none|7,7a7e7428-b8d7-4d2e-91d3-19100500e016|1194daac-6c0d-48a3-a3eb-00cdaaa7c581|9bc4d8bc-0de4-40e4-94c5-a9a6fa3ecf54|18a62cd8-2735-475d-add4-6a427618d4b2|e7315ba9-c0c0-46c5-972f-6ab41201ebc1|735adb1e-add8-4542-aae5-c4783fdc5b40|71797def-82f5-4664-89d4-68293167d5d4|5aef5b57-36d5-408e-b095-20aed6736ee1|c3d8899b-11d9-4946-8987-89fe2b2b7c15|4ab684d9-0b2b-4938-b384-468e2485f70f|c7ea0241-4f73-4ea6-bb43-9b14b78b6bba|38958cd5-c20a-4f80-be2f-8cad061f04e9|cc327626-72bb-4221-a916-baa0a674fc55|3f6ee45d-fdb2-4705-9e56-6ca143c2c33a|62395cf0-950c-4d73-b61a-d41b3eeb2738|212fa0ab-bcae-4285-886c-7ce64786e025|0563dca3-c82b-44d0-b61c-bfc79e91d47a|b4f5c7ba-3731-4e34-a62b-55fb62d4c887|ce092792-dedc-41db-82ca-94fb64a04825|e47d86cd-d0ec-4cae-9d93-9385b9175478|17bcb527-9b05-48e8-b4cf-e25180f13e8c|251bc56c-f558-4030-9082-f6105561dee9,Global: Acute Food Insecurity Country Data,Bangladesh: Acute Food Insecurity Country Data,Timor-Leste: Acute Food Insecurity Country Data,Togo: Acute Food Insecurity Country Data,Chad: Acute Food Insecurity Country Data,Kingdom of Eswatini: Acute Food Insecurity Country Data,Sierra Leone: Acute Food Insecurity Country Data,Senegal: Acute Food Insecurity Country Data,Nigeria: Acute Food Insecurity Country Data,Niger: Acute Food Insecurity Country Data,Mauritania: Acute Food Insecurity Country Data,Mali: Acute Food Insecurity Country Data,Liberia: Acute Food Insecurity Country Data,Guinea-Bissau: Acute Food Insecurity Country Data,Gambia: Acute Food Insecurity Country Data,Guinea: Acute Food Insecurity Country Data,Ghana: Acute Food Insecurity Country Data,Cabo Verde: Acute Food Insecurity Country Data,Cameroon: Acute Food Insecurity Country Data,Côte d'Ivoire: Acute Food Insecurity Country Data,Burkina Faso: Acute Food Insecurity Country Data,Benin: Acute Food Insecurity Country Data
,,Fields Data - Operational Presence,data series,Fields Data,30,none|128,a0b608b1-b6c5-4dad-be74-bbb576cd879f,"Burundi- Muyinga, Cankuzo, Makamba, Ruyigi, Rutana, Rumonge: Operational Presence"
,,WorldPop - Age and sex structures,data series,WorldPop,241,none|144,440bbae0-2722-4ff4-b632-8e09fa7ef8eb,Türkiye - Age and sex structures
,,WorldPop - Pregnancies,data series,WorldPop,161,none|148,56a5586e-3279-45cd-92ad-3cf41275fbec,Türkiye - Pregnancies
,,WorldPop - Births,data series,WorldPop,161,none|149,b21b5c09-1bd5-4a98-8ce4-90a3c76d1829,Türkiye - Births
,,WorldPop - Population Density,data series,WorldPop,240,none|142,f9c7daaf-def4-46a6-930f-3889ccda78ad,Türkiye - Population Density
,,World Pop - Population Counts,data series,WorldPop,248,none|143,7e71973e-ed24-49f7-8e8e-3856c2476ff9,Türkiye - Population Counts
,,UNHCR - Lebanon - Vulnerability Assessment of Syrian Refugees,data series,UNHCR - The UN Refugee Agency,11,none|95,70d13a43-9601-4fe9-b166-ef88a268e7e0,"Lebanon - Vulnerability Assessment of Syrian Refugees in Lebanon, 2022"
,,WHO - WHO Health Indicators,data series,World Health Organization,200,none|11,e5cb8446-cf34-4fcd-ab4c-b3919d9ae216|d3d61ff6-7592-44ca-89de-c412fbcb7bcb|f4957ce4-139a-490c-bf17-2d1dbd5f2096|55070226-a95a-43e8-85e6-a969d4cf26ec|95dc6a1c-23fd-451c-9325-cfcb29ee08af|26cdda9f-fd36-4dcb-9943-ad9e66226f29|134f28df-b56b-4860-856a-b39450dd90d2|b540e2ae-61f3-4c5e-a54f-f53e8b16e3cc|6290c09e-50e8-43c9-9ad9-3bcdd552a714|78481be7-a1d3-46ef-a10c-83667b8451bd|ff0ca5f7-5e03-4da2-8f1d-2c3450f884d0|28227d37-c024-4216-a352-cceb40fdaa27|a7e050a7-3d72-4569-a262-1dff7bea73c6|1d0356b3-aa82-48a9-8b1a-f8c5b48934f8|ca527264-4255-4c54-930b-a225999d6f39|515f9587-6075-4a2f-b72f-133c4a8aa6bd|daae9b07-60c7-4b15-bc82-409509fae3b3|919b5463-808b-411c-a9e5-f02d366c681d|be8b3e86-8d54-4a8b-b478-126ebc442574|87b56ef8-247b-4e01-9373-3e4b4a9b56e0|b5c9887d-de6a-42e1-a5b5-9e458f130486|ef2305b9-128a-4570-b202-270b796762f8|f4528e3b-7ce9-47aa-946b-0113e68671c6|51b0bff3-6626-4e95-881a-7eb7ea77b378|52a14d59-0f70-4d81-9c85-5984f4926b97|aca87b2a-eb2c-4193-ac44-087e8191d288|f0d2ce4f-bd85-48ba-b190-62e2bb796277|ac39aca2-fbc4-4235-8009-c8bd1959d146,Isle of Man - Health Indicators,Sint Maarten (Dutch part) - Health Indicators,Curaçao - Health Indicators,Gibraltar - Health Indicators,Northern Mariana Islands - Health Indicators,American Samoa - Health Indicators,New Caledonia - Health Indicators,Saint Helena - Health Indicators,Greenland - Health Indicators,Faroe Islands - Health Indicators,French Polynesia - Health Indicators,Mayotte - Health Indicators,Guam - Health Indicators,French Guiana - Health Indicators,"China, Macao Special Administrative Region - Health Indicators","China, Hong Kong Special Administrative Region - Health Indicators",United States Virgin Islands - Health Indicators,Turks and Caicos Islands - Health Indicators,Saint Pierre and Miquelon - Health Indicators,Montserrat - Health Indicators,Martinique - Health Indicators,Guadeloupe - Health Indicators,Falkland Islands (Malvinas) - Health Indicators,Cayman Islands - Health Indicators,British Virgin Islands - Health Indicators,Bermuda - Health Indicators,Aruba - Health Indicators,Réunion - Health Indicators
,,OCHA Afghanistan - Who does What Where,data series,OCHA Afghanistan,16,none|62,f50bc211-d42f-4fcd-8291-3e4a57a0dfcf,Afghanistan - Who does What Where (January to March 2023)
,,iMMAP - ,excluded,iMMAP,11,none|67,4954be6a-7c0e-4f1e-af85-f01d45d86cab,Diagnóstico de Necesidades y Capacidades en Manejo y Analítica de Información
,,HOTOSM - Buildings,data series,Humanitarian OpenStreetMap Team (HOT)|Humanitarian OpenStreetMap Team (HOT),378,none|14,a8178e04-ce55-4bbf-9932-f2e41b8994ac,Ushahidi Handwashing Station Data in Indonesia
,,COD - Subnational Administrative Boundaries,data series,OCHA Sudan,115,none|12,e0ce199b-295f-4feb-b155-e3cf0f84705a|af5dee92-be5e-4d02-bbcf-37b44e4025fb,Sudan :  Administrative line boundaries 1,Sudan Administative line boundaries 2
