Action,Notes,title,key,Org,count,Matched to ID,Datatset IDs,Names,
Approved,,FAO - Food Security Indicators,data series,Food and Agriculture Organization (FAO),207,125,156db94c-f4ed-45d8-a058-2d46dc5cd06f|8789eeef-47f1-47c2-8d09-a5ef746550a3,Netherlands (Kingdom of the) - Food Security and Nutrition Indicators,United Republic of Tanzania (the) - Food Security and Nutrition Indicators
Approved,,OCHA Afghanistan - Who does What Where,data series,OCHA Afghanistan,16,62,a9928ba2-d8f3-41cd-9f5e-af3889986d53,Afghanistan - Who does What Where (April to June 2023),
Exclude,,,,,,,faca87d4-7ead-4084-ba9b-3b614d54cc8b,Afghanistan Voluntary Repatriation 2021,
Exclude,,,,,,,0c626a23-284a-431f-adc7-6031eb3609f0,Afghanistan Voluntary Repatriation 2020,
Exclude,,,,,,,b1f02680-ad00-47e1-abb2-45c9fe7ec1d9,Afghanistan Voluntary Repatriation 2019,
Exclude,,,,,,,7a169c75-73ee-46f0-a4f1-8d656255dd26,Afghan Voluntary Repatriation 2016,
Exclude,,,,,,,b1f09d7f-0301-4d43-8b4d-ea56be361743,"Damage Assessment in Chichaoua, Marrakech-Safi Region, Morocco as of 10 September 2023",
Exclude,,,,,,,e9d49077-4443-43b1-91ae-4b15241507fc,"Évaluation des dégats à Taroudant, région de  Taroudant, province de Souss Massa, Maroc, au 10 Septembre 2023",
Exclude,,,,,,,333b50f1-9752-49f4-8b1f-a1da94449010,"Évaluation des dégats à Adassil, région de  Chichaoua, province de Marrakech-Safi, Maroc, au 10 Septembre 2023",
Exclude,,,,,,,cad537ad-2a57-4d4e-a50f-01865fef9089,"Damage Assessment in Douar Tagadirte (Igermane), Chichaoua Province, Marrakech-Safi Region, Morocco as of 10 September 2023",
Exclude,,,,,,,4d42577f-5d80-4c0c-86c2-40e5a3e48e8d,M6.8 Adassil earthquake (SW Marrakesh)  on 9 September 2023,
Approved,,UNHCR - Protection Monitoring,,,,139,7eea4cb4-5864-459b-8c66-3119a13ac503,Lebanon - Protection Monitoring - Q2 2021,
Approved,,UNHCR - Protection Monitoring,,,,139,6cce56ea-0795-4db2-92cd-9477c3a94261,Lebanon - Protection Monitoring - Q4 2021,
Approved,,UNHCR - Protection Monitoring,,,,139,21d7a05b-ed27-4aec-8da4-920632b42a5b,Lebanon - Protection Monitoring - Q4 2020,
Approved,,UNHCR - Protection Monitoring,,,,139,5628c679-7969-4b97-bd72-04f94b5712bb,Lebanon - Protection Monitoring - Q3 2021,
Approved,,UNHCR - Protection Monitoring,,,,139,5757caa5-f637-4523-a354-9a516b1984e7,Lebanon - Protection Monitoring - Q1 2021,
Approved,,UNHCR - Protection Monitoring,,,,139,2b0c0bcc-85fd-440e-ab1e-fc3283831250,"Panama - Border Protection Monitoring, 2022 - 2023",
