Action,Notes,title,key,Org,count,Data series ID,Dataset IDs,Dataset Names,,,,,,,
Approved,,OCHA Latin America and the Caribbean- Operational Presence 3W,data series,OCHA Latin America and the Caribbean (ROLAC),6,none|117,4800713d-2536-4959-9693-c03510629f14,colombia-response-activities,,,,,,,
Approved,,IFRC - Appeals,data series,International Federation of Red Cross and Red Crescent Societies (IFRC),6,none|273,74a09758-a1bd-4736-804d-6d0723a54608,Eswatini - IFRC Appeals,,,,,,,
Approved,,OCHA FTS - Requirements and Funding Data,data series,OCHA Financial Tracking System (FTS)|OCHA Financial Tracking System (FTS),222,none|4,2b5c54cb-eae4-4dd3-99f5-85744907c93e,"Western Sahara, non-self-governing territory - Requirements and Funding Data",,,,,,,
Approved,,WFP Advanced Disaster Analysis and Mapping - Earthquake Data,data series,WFP Advanced Disaster Analysis & Mapping,1,none|283,4103eef8-78d2-4e74-8da2-841abe0daadf|e88abf6d-a797-470d-8d3e-ce3fd888f9bd|5bd2c040-6f97-48ab-8631-f385f393d86c|cd2aed89-f350-40cd-bc5d-78fffcb69010|5931d34b-d323-4ce8-a604-d2d8c12b6075|dbe0f6e6-38f7-4453-9d3b-6ab08f874038|eebbd8a8-3844-4525-a045-081b0abde89b|285ed3ff-278e-4a8a-8f47-cb9641d82b38,Indonesia: Earthquake - 6.7M - Nov 2023,Indonesia: Earthquake - 6.9M - Nov 2023,Indonesia: Earthquake - 6.0M - Nov 2023,Fiji: Earthquake - 6.4M - Oct 2023,Vanuatu: Earthquake - 6.0M - Oct 2023,Afghanistan: Earthquake - 6.3M - Oct 2023,Afghanistan: Earthquake - 6.3M - Oct 2023,Argentina: Earthquake - 6.0M - Oct 2023
Approved,,HOTOSM - Health Facilities,data series,Humanitarian OpenStreetMap Team (HOT)|Humanitarian OpenStreetMap Team (HOT),384,none|18,ef05eae1-592b-4753-af94-190b334fee62,Mexico Health Facilities (OpenStreetMap Export),,,,,,,
Approved,,HOTOSM - Roads,data series,Humanitarian OpenStreetMap Team (HOT)|Humanitarian OpenStreetMap Team (HOT),384,none|24,990de489-bada-4ef1-ac35-6ae46afed543,Mexico Roads (OpenStreetMap Export),,,,,,,
Approved,,HOTOSM - Populated Places,data series,Humanitarian OpenStreetMap Team (HOT)|Humanitarian OpenStreetMap Team (HOT),385,none|17,d0d36c09-a14f-4f2f-b46c-473b0db061c1,Mexico Populated Places (OpenStreetMap Export),,,,,,,
Approved,,HOTOSM - Financial Services,data series,Humanitarian OpenStreetMap Team (HOT)|Humanitarian OpenStreetMap Team (HOT),385,none|16,a08409fd-a06e-4a98-92da-f595923ad9fb,Mexico Financial Services (OpenStreetMap Export),,,,,,,
Approved,,HOTOSM - Sea Ports,data series,Humanitarian OpenStreetMap Team (HOT)|Humanitarian OpenStreetMap Team (HOT),385,none|20,43c5d364-f848-40ab-b3cd-dcf6f68056ae,Mexico Sea Ports (OpenStreetMap Export),,,,,,,
Approved,,HOTOSM - Health Facilities,data series,Humanitarian OpenStreetMap Team (HOT),384,none|18,ef05eae1-592b-4753-af94-190b334fee62,Mexico Health Facilities (OpenStreetMap Export),,,,,,,
