WFP - Integrated Context Analysis (ICA),
WFP - World Food Programme,
258a9969-b21d-4f5d-b6e0-b375fed2701a,"Zimbabwe: Integrated Context Analysis (ICA), 2015"
d1f36397-fb1f-410e-bcd5-06351f4d1cdd,"United Republic of Tanzania: Integrated Context Analysis (ICA), 2015"
a49b55c9-a6b3-4516-8e4c-460daa7f7cd6,"Tajikistan: Integrated Context Analysis (ICA), 2015"
40039ba6-5538-4f2a-a266-9e8f75cbaac1,"Chad: Integrated Context Analysis (ICA), 2018"
4d362459-eebf-41e6-b180-ac3bd95edf09,"Chad: Integrated Context Analysis (ICA), 2017"
0e7cc808-91d4-4798-b817-d276d521403e,"Syrian Arab Republic: Integrated Context Analysis (ICA), 2020"
213a44da-327f-48fb-b268-5d35bfab7da8,"Syrian Arab Republic: Integrated Context Analysis (ICA), 2018"
dda4cbd1-8cb4-46ac-a2e8-37d0d0eccd4e,"Eswatini: Integrated Context Analysis (ICA), 2019"
4878924c-4adf-4195-9f93-030f43027d0a,"South Sudan: Integrated Context Analysis (ICA), 2016"
08f3deee-21ec-4a2c-84bf-0e3894e796a0,"Somalia: Integrated Context Analysis (ICA), 2018"
1c429d48-7e7e-4b57-8079-5d767004aeb9,"Sierra Leone: Integrated Context Analysis (ICA), 2017"
72b05f45-aa0f-4b82-93d4-1745f016b4b5,"Senegal: Integrated Context Analysis (ICA), 2017"
3774fc34-41a5-484b-9b72-432d230dec03,"Sudan: Integrated Context Analysis (ICA), 2018"
f39a5aa7-1f7b-4012-9519-3e6f010e6d14,"Philippines: Integrated Context Analysis (ICA), 2014"
ac2c784e-6ac7-4bdf-9461-f426d2318339,"Pakistan: Integrated Context Analysis (ICA), 2017"
01bac3ff-9e63-499e-9ee5-8d4fada442c7,"Niger: Integrated Context Analysis (ICA), 2018"
8641893b-f128-4b6a-b7b1-2d049e5d7ac1,"Malawi: Integrated Context Analysis (ICA), 2015"
73ad68c9-c885-43b8-a9f9-aecb0d00471f,"Malawi: Integrated Context Analysis (ICA), 2014"
d7579125-463b-46d6-96c1-556014d82d34,"Mauritania: Integrated Context Analysis (ICA), 2017"
6a954bc1-d438-4efa-b11c-170aa932a7de,"Mozambique: Integrated Context Analysis (ICA), 2017"
9c1d5a4d-af05-48b2-b2d5-cbbb4547c5b9,"Mali: Integrated Context Analysis (ICA), 2017"
1c2d23cc-5431-407e-8a8b-85e27e0b3f19,"Mali: Integrated Context Analysis (ICA), 2014"
e4779a65-fedf-4cbf-8c5c-63b4a7fe310d,"Lesotho: Integrated Context Analysis (ICA), 2015"
626c381b-067d-4980-9789-adb01c10163d,"Jordan: Integrated Context Analysis (ICA), 2019"
beff3cae-1730-473b-8047-400bcfc3a657,"Haiti: Integrated Context Analysis (ICA), 2017"
d3fac28c-3662-44a2-8f63-f960618b0e32,"Honduras: Integrated Context Analysis (ICA), 2017"
3e498b91-dd02-4ed6-a6e6-937d9f27b2a8,"Democratic Republic of the Congo: Integrated Context Analysis (ICA), 2018"
f449078a-921f-4b4b-b478-6abfb8623b6c,"Democratic Republic of the Congo: Integrated Context Analysis (ICA), 2017"
37798fb3-a601-4df5-9923-6015ecf3661e,"Burkina Faso: Integrated Context Analysis (ICA), 2018"
a3ed60ae-5982-4b3c-9c73-02f81a738360,"Burundi: Integrated Context Analysis (ICA), 2014"
bc53628a-5da3-4117-a5bd-4b88b1d16e75,"Armenia: Integrated Context Analysis (ICA), 2017"
338c9b61-9cbc-46c0-b023-2e411bb1deb1,"Armenia: Integrated Context Analysis (ICA), 2016"
ddbbd4d4-7c62-48c6-abae-f6ddbd78efa8,"Afghanistan: Integrated Context Analysis (ICA), 2019"
3066c945-ed6e-4903-8080-7943d41f634f,"Afghanistan: Integrated Context Analysis (ICA), 2016"
