Action,Notes,title,key,Org,count,Data series ID,Dataset IDs,Dataset Names,,
Approved,,IFRC - Appeals,data series,International Federation of Red Cross and Red Crescent Societies (IFRC),6,none|273,d3b31343-9920-4341-af71-0d19dd195415,Iceland - IFRC Appeals,,
Approved,,WFP Advanced Disaster Analysis and Mapping - Cyclone Data,data series,WFP Advanced Disaster Analysis & Mapping|WFP Advanced Disaster Analysis & Mapping,1,none|282,4f000868-164e-40ca-8519-e123bf320d69|2fdd2689-b4d2-42d1-97b8-5e8b55fda4ef|c8d4ab35-e0b6-405b-9cc4-fe3e709a7132,India: Cyclone - Tropical storm - Dec 2023,Bangladesh: Cyclone - Tropical storm - Nov 2023,Philippines: Cyclone - Tropical depression - Nov 2023
Approved,,WFP Advanced Disaster Analysis and Mapping - Earthquake Data,data series,WFP Advanced Disaster Analysis & Mapping,1,none|283,c9a9dbe0-528a-4100-9888-444695f98acf|ecc66016-eba8-4ead-a59d-3aecb5659c57|3e8f76dc-dd01-4e44-84ca-f148a399820f,Philippines: Earthquake - 6.2M - Dec 2023,Philippines: Earthquake - 6.0M - Dec 2023,Indonesia: Earthquake - 6.0M - Nov 2023
Approved,,OCHA Afghanistan - Who does What Where,data series,OCHA Afghanistan,16,none|62,e7f92509-9c20-450d-83ea-582d306347cf,Afghanistan - Who does What Where (July to September 2023),,
Approved,,World Bank - Economic Social Environmental Health Education Development and Energy,data series,World Bank Group|World Bank Group|World Bank Group,211,none|33,7e0b7dcf-9abb-4333-93ba-4e199691d0fb,"Viet Nam - Economic, Social, Environmental, Health, Education, Development and Energy",,
Approved,,World Bank - Trade,data series,World Bank Group,216,none|34,d0951737-4c31-4e21-9b19-7e7a948c8318,Viet Nam - Trade,,
Approved,,World Bank - Climate Change,data series,World Bank Group,217,none|36,fdd20d2e-4fcf-4521-84f4-a5878855a804,Viet Nam - Climate Change,,
Approved,,World Bank - Millenium development goals,data series,World Bank Group,109,none|37,74f9c32e-a03a-4568-8991-c4ee2d82e825,Viet Nam - Millenium development goals,,
Approved,,World Bank - Gender,data series,World Bank Group,217,none|38,f9f939e7-af25-43b0-bef3-117805e0a6a2,Viet Nam - Gender,,
Approved,,World Bank - Development,data series,World Bank Group,433,none|39,15ed7b2b-5a33-41e6-93f9-f1f904bab3c3|2a716e7c-33da-47d6-98e8-de44da5214b6,Viet Nam - Urban Development,Viet Nam - Social Development,
Approved,,World Bank - Poverty,data series,World Bank Group,181,none|40,d880d5fc-52d4-46b1-a690-5c2775e07fa7,Viet Nam - Poverty,,
Approved,,World Bank - Social Protection and Labor,data series,World Bank Group,215,none|41,3dde9690-abda-42f7-b191-119cb67e7c00,Viet Nam - Social Protection and Labor,,
Approved,,World Bank - Infrastructure,data series,World Bank Group,217,none|42,392d1365-d4d6-4b53-890b-6f10605a36fe,Viet Nam - Infrastructure,,
Approved,,World Bank - Health,data series,World Bank Group,217,none|43,4d3e1fc5-65a6-4c2e-9ec0-fbc4a21374bc,Viet Nam - Health,,
Approved,,World Bank - Environment,data series,World Bank Group,217,none|44,3613c0d6-a96a-4031-88c9-dcaa7658b8d8,Viet Nam - Environment,,
Approved,,World Bank - Energy and Mining,data series,World Bank Group,217,none|45,547e1ac5-4b2b-4e01-a351-430f36c5a61c,Viet Nam - Energy and Mining,,
Approved,,World Bank - Education,data series,World Bank Group,214,none|46,076d61cf-e717-4680-acd3-3fb1bc481e2d,Viet Nam - Education,,
Approved,,World Bank - Aid Effectiveness,data series,World Bank Group,215,none|47,1bbb18f2-c4bf-4eef-87a8-ac689f14a5e1,Viet Nam - Aid Effectiveness,,
Approved,,World Bank - Agriculture and Rural Development,data series,World Bank Group,217,none|48,4cad7434-2b0d-4e88-89e3-3c3e7e39482b,Viet Nam - Agriculture and Rural Development,,
Approved,,WFP Advanced Disaster Analysis and Mapping - Cyclone Data,data series,WFP Advanced Disaster Analysis & Mapping,1,none|282,c8d4ab35-e0b6-405b-9cc4-fe3e709a7132,Philippines: Cyclone - Tropical depression - Nov 2023,,
Approved,,WFP - Integrated Context Analysis ICA,data series,WFP - World Food Programme,2,none|285,33cd8990-98ae-4f94-849e-aa870fa7e78f|60ed1e16-de9a-4247-ae96-678562ee1902|03bbaeb4-fc73-4f81-93db-7fa5c7ff41a2,"United Republic of Tanzania: Integrated Context Analysis (ICA), 2019",ICA Philippines - Tropical Storm (above Category 3) Occurrence,ICA Mozambique - Cyclone Hazard
Approved,,HOTOSM - Health Facilities,data series,Humanitarian OpenStreetMap Team (HOT)|Humanitarian OpenStreetMap Team (HOT),384,none|18,4232f90d-1c2e-40fb-a42f-68bff063caa0,Russia Health Facilities (OpenStreetMap Export),,
Approved,,HOTOSM - Roads,data series,Humanitarian OpenStreetMap Team (HOT)|Humanitarian OpenStreetMap Team (HOT),384,none|24,5c736b45-8c02-450a-a588-8a48ba9071c4,Russia Roads (OpenStreetMap Export),,
Approved,,HOTOSM - Financial Services,data series,Humanitarian OpenStreetMap Team (HOT)|Humanitarian OpenStreetMap Team (HOT),385,none|16,0efd62e8-cade-4164-b731-3ed88d62c72a,Russia Financial Services (OpenStreetMap Export),,
Approved,,HOTOSM - Railways,data series,Humanitarian OpenStreetMap Team (HOT)|Humanitarian OpenStreetMap Team (HOT),384,none|15,f106a05d-5fa7-40b0-8342-ebec32d019f2,Russia Railways (OpenStreetMap Export),,
Approved,,HOTOSM - Populated Places,data series,Humanitarian OpenStreetMap Team (HOT)|Humanitarian OpenStreetMap Team (HOT),385,none|17,7cfbd6bf-f1cc-458b-8074-1b625039611a,Russia Populated Places (OpenStreetMap Export),,
Approved,,HOTOSM - Education Facilities,data series,Humanitarian OpenStreetMap Team (HOT)|Humanitarian OpenStreetMap Team (HOT),385,none|19,09ce415c-fe65-4c03-851a-eead4f836975,Russia Education Facilities (OpenStreetMap Export),,
Approved,,HOTOSM - Health Facilities,data series,Humanitarian OpenStreetMap Team (HOT),384,none|18,4232f90d-1c2e-40fb-a42f-68bff063caa0,Russia Health Facilities (OpenStreetMap Export),,
Approved,,HOTOSM - Sea Ports,data series,Humanitarian OpenStreetMap Team (HOT)|Humanitarian OpenStreetMap Team (HOT),385,none|20,8d12192e-a1d6-4b7d-ad90-607d82d741b2,Russia Sea Ports (OpenStreetMap Export),,
Approved,,HOTOSM - Airports,data series,Humanitarian OpenStreetMap Team (HOT)|Humanitarian OpenStreetMap Team (HOT),385,none|21,71481a94-0c71-4b3d-8403-d7ecab289122,Russia Airports (OpenStreetMap Export),,
