WFP Advanced Disaster Analysis & Mapping - Flood Data,
WFP Advanced Disaster Analysis & Mapping,
21fbfc0d-fd14-4d36-bb8c-5e3b1a8f9747,Somalia: Flood - 393749.0 sq m - Nov 2023
d1c913c5-9b25-400f-bba4-6db3e0c2121a,Ethiopia: Flood - 205753.0 sq m - Nov 2023
4d7162e5-82ea-4270-953f-af981e2f447a,Ethiopia: Flood - 1016365.0 sq m - Nov 2023
598b87ec-3f17-4051-91f9-a86124f811eb,Somalia: Flood - 576683.0 sq m - Nov 2023
50d2467d-2b1c-418a-8a28-bb9fa1a910f1,United Republic of Tanzania: Flood - 238073.0 sq m - Nov 2023
b9265db1-88a2-4dd0-99b5-778d02116ebc,Dominican Republic: Flood - 47475.0 sq m - Nov 2023
ca8063d7-758e-48f0-8b78-58624be8181b,Somalia: Flood - 922555.0 sq m - Nov 2023
f1b3e7d8-6fb9-4f43-846e-ff04e814aeab,Kenya: Flood - 543793.0 sq m - Nov 2023
71829376-b8a9-4513-9ca7-cc4575cc5210,Ethiopia: Flood - 418451.0 sq m - Nov 2023
2e836911-cd65-4afb-ac67-ba73b17ad01c,Congo: Flood - 346099.0 sq m - Nov 2023
23f9ff78-b546-43e5-a191-a9dcd3186b3e,Zambia: Flood - 3014912.0 sq m - Jan 2023
b02c9456-e116-446e-96de-45c8e85fc41a,Zambia: Flood - 3056921.0 sq m - Feb 2023
3a5132e5-2be5-4e37-857c-8537ce1121e1,Zambia: Flood - 3695421.0 sq m - Feb 2023
7e1f8b34-3e68-49e9-b7b4-29690d509546,Malawi: Flood - 106653.0 sq m - Feb 2023
fbea8d02-40ce-45e6-96fd-2af5b78127e5,Mozambique: Flood - 334147.0 sq m - Feb 2023
9c73549c-af70-4382-a75a-6faa03bc3cdf,Philippines: Flood - 378781.0 sq m - Feb 2023
c7fc2916-1f61-4695-ba3b-2fedca613138,Madagascar: Flood - 733414.0 sq m - Feb 2023
9846da9f-83e5-4146-8726-577d22aa9ab5,Malawi: Flood - 111044.0 sq m - Mar 2023
ee1c81ba-929a-4d19-b718-863e09687a19,Zambia: Flood - 2302733.0 sq m - Mar 2023
da0bf933-67e8-4df6-864f-f3855d683f1d,Mozambique: Flood - 502890.0 sq m - Mar 2023
