Humanitarian Outcomes - Aid Worker Security,
Humanitarian Outcomes,
b73252cf-1a7d-4455-a83c-b8721a457c08,Yemen - Aid Worker Security Database
2b6744ad-0778-4b1b-aae8-8e8163a5c5c5,Venezuela (Bolivarian Republic of) - Aid Worker Security Database
07dde9b2-92ab-4d78-818c-cc366397bd55,Ukraine - Aid Worker Security Database
bf31112d-b25d-4c50-9f89-3909f56eda6a,Syrian Arab Republic - Aid Worker Security Database
6ad29187-4482-4837-b4ab-c03b8bdc7abe,Sudan - Aid Worker Security Database
4f6b6a68-fcce-4139-be6b-aae2c6b57ec0,South Sudan - Aid Worker Security Database
12901986-81b5-4de8-9786-27a543e93a68,Somalia - Aid Worker Security Database
bd6317b2-9a0c-42b1-8b51-53035c02b351,Nigeria - Aid Worker Security Database
1bf753c4-8bd7-40f3-9d79-987a4e8ffbe6,Niger - Aid Worker Security Database
ca7ba84c-5c1a-4841-b276-a7b7d1594cc7,Myanmar - Aid Worker Security Database
5aa15d12-8b59-458f-b83a-1a11c491412b,Mozambique - Aid Worker Security Database
3e1df421-58a7-4d00-86d3-f5962f184c65,Mali - Aid Worker Security Database
c660b862-523b-45b5-868d-784929b5118e,Haiti - Aid Worker Security Database
65dd169c-9a52-4c29-8a89-80c15fae6849,Ethiopia - Aid Worker Security Database
ee069579-b6eb-418f-b376-5495e98dd1ea,Democratic Republic of the Congo - Aid Worker Security Database
b537860f-f2be-4c82-89d9-a0e86c031653,Colombia - Aid Worker Security Database
7905f958-8cef-440e-b1f9-755d56576160,Chad - Aid Worker Security Database
d195724e-00b5-404a-9809-32e50368894e,Central African Republic - Aid Worker Security Database
2827fbe9-98d5-4ec4-83a2-cfaf5129c47c,Cameroon - Aid Worker Security Database
48790629-c667-451b-9570-ddad3270c306,Burundi - Aid Worker Security Database
53ca6a30-0305-4c59-9f5f-b106846b33ca,Burkina Faso - Aid Worker Security Database
1e484f98-a346-4bb2-bc33-fe4abbc617a1,Afghanistan - Aid Worker Security Database
fcf2d53d-2407-4c81-ad60-13f68ee1c027,Aid Worker Security Database Verified Statistics
