IDMC - Internal Displacement Updates,
Internal Displacement Monitoring Centre (IDMC)|Internal Displacement Monitoring Centre (IDMC)|Internal Displacement Monitoring Centre (IDMC)|Internal Displacement Monitoring Centre (IDMC)|Internal Displacement Monitoring Centre (IDMC)|Internal Displacement Monitoring Centre (IDMC)|Internal Displacement Monitoring Centre (IDMC),
287ad101-68b0-4434-84be-ca1733d2ab25,Samoa - IDMC Event data (Internal Displacement Updates)
ce792200-a09b-4631-891d-01431167e24b,Wallis and Futuna Islands - IDMC Event data (Internal Displacement Updates)
6537697d-3e01-4934-ad72-a9b193b2f6e1,Saint Vincent and the Grenadines - IDMC Event data (Internal Displacement Updates)
ff6b5446-d700-4305-a6f4-02df41eaf2ab,Holy See - IDMC Event data (Internal Displacement Updates)
36f57b1a-766d-4f92-b22c-ece0934b5e89,Uzbekistan - IDMC Event data (Internal Displacement Updates)
58f2a8de-edc8-4d4a-b22a-10d56bde3f2b,United States Minor Outlying Islands - IDMC Event data (Internal Displacement Updates)
6e4b4292-1553-42b1-b660-3e003cced7d0,Tuvalu - IDMC Event data (Internal Displacement Updates)
60bed170-307c-44dd-bb05-a16156dd5824,Tonga - IDMC Event data (Internal Displacement Updates)
3fa27eb2-f528-4e2b-a2e6-9c02f35afb73,Timor-Leste - IDMC Event data (Internal Displacement Updates)
a1962e0f-52b4-439e-9b16-29fca7e28622,Turkmenistan - IDMC Event data (Internal Displacement Updates)
7184bb7d-b927-4a04-958b-9d0cf683eb32,Tokelau - IDMC Event data (Internal Displacement Updates)
0fb15c3c-f639-48b2-8088-b1c014a029ab,Togo - IDMC Event data (Internal Displacement Updates)
7ae22d9f-7592-48b5-8700-7af8032443d9,Eswatini - IDMC Event data (Internal Displacement Updates)
59ade68a-b807-4070-9634-e82676377e1b,Suriname - IDMC Event data (Internal Displacement Updates)
34973730-f8eb-4860-97c4-8d02251603e4,Sao Tome and Principe - IDMC Event data (Internal Displacement Updates)
4a6eee00-5849-4b7e-8c0a-df64a5c19d3e,Serbia - IDMC Event data (Internal Displacement Updates)
41a90c05-7187-435e-8a86-703a96b4e957,Saint Pierre and Miquelon - IDMC Event data (Internal Displacement Updates)
20a343cb-bbc3-41d7-8f3d-4a8990e0f32c,Sierra Leone - IDMC Event data (Internal Displacement Updates)
658251a3-9ef9-4433-9674-b4109bce3724,Svalbard and Jan Mayen Islands - IDMC Event data (Internal Displacement Updates)
ebf05cf7-6770-44cf-b6b8-6f8f2253380c,Saint Helena - IDMC Event data (Internal Displacement Updates)
24280cf7-6a35-4467-8c2b-eb05dfd546f2,South Georgia and the South Sandwich Islands - IDMC Event data (Internal Displacement Updates)
69813b66-a653-4472-b617-9d66b0f7059f,Senegal - IDMC Event data (Internal Displacement Updates)
2c45606b-f329-4de6-93dd-6b35d48d2413,Democratic People's Republic of Korea - IDMC Event data (Internal Displacement Updates)
5a2dfb4d-b0c5-47f1-a530-505d8ac429df,Palau - IDMC Event data (Internal Displacement Updates)
ce175bd5-c4e6-4c55-9c69-791a99edcf8f,Pitcairn - IDMC Event data (Internal Displacement Updates)
2913e76a-5913-42e6-b045-40044e04b816,Niue - IDMC Event data (Internal Displacement Updates)
0647d33e-530a-46dc-866e-d11e32e98303,Norfolk Island - IDMC Event data (Internal Displacement Updates)
eda9a947-3cf4-4e13-8d97-e145bf66b1d7,Namibia - IDMC Event data (Internal Displacement Updates)
727d7447-6645-41b2-a12b-98294dfdefdc,Mayotte - IDMC Event data (Internal Displacement Updates)
3d13cc5e-d4f4-43e5-950b-34df73c544e9,Mauritius - IDMC Event data (Internal Displacement Updates)
46b73576-bc0e-4c8c-ae19-4f4ed3ab420d,Martinique - IDMC Event data (Internal Displacement Updates)
8be16712-c3b2-47ef-a90d-deee735cfe91,Montserrat - IDMC Event data (Internal Displacement Updates)
6b0bdcc8-1cdd-4851-a408-e74d2e831aaf,North Macedonia - IDMC Event data (Internal Displacement Updates)
06dbd563-992e-4db0-be81-02fb2f8dfff2,Marshall Islands - IDMC Event data (Internal Displacement Updates)
