UNHCR - Multi-Sector Needs Assessment,
UNHCR - The UN Refugee Agency,
9dbb61e4-5d78-4108-aa5d-589ca10da3fe,Lithuania - Multi-Sector Needs Assessment (MSNA) - 2023
364aa9e9-c577-4dac-b7ff-49d4f0dc5fc5,Bulgaria - Multi-Sector Needs Assessment (MSNA) - 2023
d15e7e35-7d21-4151-9229-5ef0dac00129,Hungary - Multi-Sector Needs Assessment (MSNA) - 2023
a8fbb530-131c-4f44-8135-021e4b368572,Czechia - Multi-Sector Needs Assessment (MSNA) - 2023
59ee9fbd-4e73-4547-bf52-8e06283d52cb,Latvia - Multi-Sector Needs Assessment (MSNA) - 2023
bc2d99b2-578a-47c1-886f-930b3d5bc565,Estonia - Multi-Sector Needs Assessment (MSNA) - 2023
6c3226f1-0fb9-4583-b0a3-3edd1f56651a,Poland - Multi-Sector Needs Assessment (MSNA) - 2023
0b01ac75-211f-461e-b907-4dbc64f9b435,Republic of Moldova - Multi-Sector Needs Assessment (MSNA) - 2023
83972cda-7319-41d4-89c0-d964cc332e95,Romania - Multi-Sector Needs Assessment (MSNA) - 2023
45902f90-cf76-48a3-aad5-3145f9a12417,Slovakia - Multi-Sector Needs Assessment (MSNA) - 2023
