ICPAC - Somalia Tropical Cyclones Regions Hit,
IGAD Climate Prediction and Applications Center (ICPAC),
3498038a-e0f7-4133-9148-7bf3b721bca0,Somalia District struck by 2020 Tropical Cyclone Gati
d0619271-3e3a-41d7-860e-a84033588c8e,Somalia District hit by 2019 Tropical Cyclone Pawan
7b098324-974c-44c5-8c37-4762bd22c214,Somalia Districts hit by 2015 Tropical Cyclone Megh
6aa6b58a-2426-47dc-bc6f-96a3b6b1f5e0,Somalia Districts hit by 2015 Tropical Cyclone Chapala
4c0ad1d4-35b7-42e2-b9a4-dd7da53ebdf2,Somalia Districts hit by 2012 Tropical Cyclone Murjan
c576e70d-0f82-45de-8338-0c26e080507b,Somalia Districts hit by 2010 Tropical Cyclone Bandu
a037e795-607d-46c6-bba7-7afe8f7179ef,Somalia Districts hit by 1994 Tropical Cyclone 05A
a8b2e741-8e5c-4c37-913d-143647bb34a3,Somalia Districts hit by 1984 Tropical Cyclone 1A
63b9ac79-29e6-4d84-88aa-efdac74edda8,Somalia Regions hit by 2020 Tropical Cyclone Gati
c689250b-fdf6-4393-af09-67abca49918c,Somalia Regions hit by 2019 Tropical Cyclone Pawan
1dbc27dc-0214-43ed-a706-c9ace1261711,Somalia Regions hit by 2018 Tropical Cyclone Sagar
04c98cff-e56d-4159-97d4-551060dd6b05,Somalia Regions hit by 2015 Tropical Cyclone Chapala
e2d935de-e7cb-41ab-827f-95495fadde0a,Somalia Regions hit by 2012 Tropical Cyclone Murjan
b19f5aaa-95bc-4779-b521-47922c8e528d,Somalia Regions hit by 2010 Tropical Cyclone Bandu
d3bc27db-ebb4-470d-8817-3f174c3d3230,Somalia Regions hit by 1994 Tropical Cyclone 05A
90361ddd-c5a7-4575-95ae-a59c7f4f6bab,Somalia Regions hit by 1992 Tropical Cyclone 12A
03b9f03b-9be5-47c5-a93c-c23485b1b2dc,Somalia Regions hit by 1984 Tropical Cyclone 1A
a6b4328d-0253-4d1b-b245-b354af25309c,Somalia Regions hit by 1984 Tropical Cyclone 04B
c41b0ba9-f4f5-4301-a0ef-6d223b053bb7,Tropical Cyclones hitting Somali Districts for the period(1984-2020)
77124770-3aee-49da-bdef-a2047ed6ef98,Tropical Cyclones hitting Somali Regions for the period(1984-2020)
d44bd720-8ae8-4e91-844c-8922a41406db,Somalia Districts hit by 2018 Tropical Cyclone Saga
617347cf-9f90-4403-be9a-9889f85a9fe1,Somalia Districts hit by 2013 Tropical Cyclone 3A
7b4a40ca-0793-4d91-a40c-b7f9eb7b61cc,Somalia Regions hit by 2013 Somalia Tropical Cyclone 3A
d44bd720-8ae8-4e91-844c-8922a41406db,Somalia Districts hit by 2018 Tropical Cyclone Saga
617347cf-9f90-4403-be9a-9889f85a9fe1,Somalia Districts hit by 2013 Tropical Cyclone 3A
7b4a40ca-0793-4d91-a40c-b7f9eb7b61cc,Somalia Regions hit by 2013 Somalia Tropical Cyclone 3A
