Action,Notes,title,key,Org,count,Data series ID,Dataset IDs,Dataset Names,,,,,,,,
Approved,,IDMC - Internal Displacement Updates,data series,Internal Displacement Monitoring Centre (IDMC)|Internal Displacement Monitoring Centre (IDMC)|Internal Displacement Monitoring Centre (IDMC)|Internal Displacement Monitoring Centre (IDMC)|Internal Displacement Monitoring Centre (IDMC)|Internal Displacement Monitoring Centre (IDMC)|Internal Displacement Monitoring Centre (IDMC),1,none|290,52880c3a-715d-4e01-b75a-1fc3f64babf6|361d5417-25db-4220-97fc-ae9a68d62d34,Ukraine - IDMC Event data (Internal Displacement Updates),India - IDMC Event data (Internal Displacement Updates),,,,,,,
Approved,,HOTOSM - Roads,data series,Humanitarian OpenStreetMap Team (HOT),384,none|24,4236af42-9f77-4cf8-ac64-e9548762bfc5|bac4ea00-fdb8-4794-bf90-870f07db3a3b|d61e9ad2-b41c-440a-a79c-3e7227de8d15|258e3b5f-3029-4412-b91b-ff93c44aeb04|47a1b88d-a28a-4771-a2c5-13a4d7b8eb67|12bc17f3-abad-4f24-9bc8-08099d4ee121|500d44b4-21ff-4fb2-b181-a95aeb4b1e3e,Chad Roads (OpenStreetMap Export),Niger Roads (OpenStreetMap Export),Fiji Roads (OpenStreetMap Export),Philippines Roads (OpenStreetMap Export),Haiti Roads (OpenStreetMap Export),Viet Nam Roads (OpenStreetMap Export),Bangladesh Roads (OpenStreetMap Export),,
Approved,,HOTOSM - Financial Services,data series,Humanitarian OpenStreetMap Team (HOT)|Humanitarian OpenStreetMap Team (HOT),385,none|16,af6aff1a-95f9-4012-ae34-a6871eef37b8|ea8d9145-e2c3-4a53-97ab-706326096e01|77facfe3-3bc4-43d0-a90b-b65e300a49cb|575c98dc-211e-4f10-a436-a05c5fbf56cd|cf9a587e-2dbe-44f2-be59-4a930952f1f9|d1f2ba45-4427-4846-b184-9e7cef6e668e|894dcdcd-a848-4224-8559-1611decec90e|4f069d7c-2ece-4892-8ff4-19ed14f5e11f|9562f65a-6c72-439c-b028-492dabee42fe,Fiji Financial Services (OpenStreetMap Export),Haiti Financial Services (OpenStreetMap Export),Viet Nam Financial Services (OpenStreetMap Export),Bangladesh Financial Services (OpenStreetMap Export),Chad Financial Services (OpenStreetMap Export),Niger Financial Services (OpenStreetMap Export),Mali Financial Services (OpenStreetMap Export),Kosovo Financial Services (OpenStreetMap Export),Philippines Financial Services (OpenStreetMap Export)
Approved,,HOTOSM - Railways,data series,Humanitarian OpenStreetMap Team (HOT),384,none|15,4cd254ea-9e04-4117-a118-4f19c4cbcd1f|ac16e7ce-5728-498b-a9a4-9fa825fb8d7f|1f7b47a3-20a5-4fce-9daf-be8b182aa950|4cc026b5-abf0-46f4-9a78-d15932327aa8|8e67f808-1474-4a17-8cb9-e43643c17c11|da4ac5a8-7bc1-4e30-a95b-d0eb7dfc5a7f|1232a044-710a-474f-8182-4400d0c5648f|b0022e98-cf5e-4f20-ac41-ca03e8f0588f,Chad Railways (OpenStreetMap Export),Niger Railways (OpenStreetMap Export),Fiji Railways (OpenStreetMap Export),Kosovo Railways (OpenStreetMap Export),Philippines Railways (OpenStreetMap Export),Haiti Railways (OpenStreetMap Export),Viet Nam Railways (OpenStreetMap Export),Bangladesh Railways (OpenStreetMap Export),
Approved,,HOTOSM - Points of Interest,data series,Humanitarian OpenStreetMap Team (HOT),385,none|22,211bf0b6-1136-4362-aec2-ae98c583878e|3b6163f8-e86b-4b92-9089-92474e2010fa|bf8a4b0c-ac25-4861-8570-5d908609cf68|f73dce28-8193-4377-a46f-f718fbb91235|c73f3b16-5538-4e02-a4f4-169e0b789810|b9fa27ad-2eb4-4e62-8c9e-a13934eb4a8b|2360b8c7-4118-4a45-8e02-5343a061baac|a2da23ca-5e0d-4142-a858-26ff55c3cea7,Chad Points of Interest (OpenStreetMap Export),Niger Points of Interest (OpenStreetMap Export),Fiji Points of Interest (OpenStreetMap Export),Kosovo Points of Interest (OpenStreetMap Export),Philippines Points of Interest (OpenStreetMap Export),Haiti Points of Interest (OpenStreetMap Export),Viet Nam Points of Interest (OpenStreetMap Export),Bangladesh Points of Interest (OpenStreetMap Export),
Approved,,HOTOSM - Waterways,data series,Humanitarian OpenStreetMap Team (HOT),385,none|23,2b1e2996-f863-48ab-81bb-23b83eb3712a|2f6e2d56-4a93-44e6-ba90-9d6165e8fa60|54f88fc3-96ed-4f07-a2f7-37f2c6017afb|fd277c68-a8dd-4b30-97c7-07b6d88762ab|ed30c93a-435f-4592-b237-44be8446b147|927dd070-f7bc-4df7-ba82-772670e2d129|8ded721e-77a8-4dac-bfda-e1832f8e9ec6|c37a0b81-e708-4a7a-9edc-074facb06ef3,Chad Waterways (OpenStreetMap Export),Niger Waterways (OpenStreetMap Export),Fiji Waterways (OpenStreetMap Export),Kosovo Waterways (OpenStreetMap Export),Philippines Waterways (OpenStreetMap Export),Haiti Waterways (OpenStreetMap Export),Viet Nam Waterways (OpenStreetMap Export),Bangladesh Waterways (OpenStreetMap Export),
Approved,,HOTOSM - Sea Ports,data series,Humanitarian OpenStreetMap Team (HOT)|Humanitarian OpenStreetMap Team (HOT),385,none|20,e3ce3e58-c542-420d-8bb8-fc4a1ccdc43a|c3adf63d-3f96-4834-9ac8-1dfb99632389|1a4cee9d-9900-4dcb-acde-b9f32dbb863a|63d6906d-74f8-4487-bb2c-95e24cf6e213|01ddcc69-c681-49e1-aead-d27629b8c7d0|574f0a64-8bbd-4f83-8514-8ca61dfa8234|7e6cdcfe-1a53-4856-a984-bc0106bab805|52d2e302-c702-4086-9e13-891d36e53442|f12ca4c8-15d5-4b0f-82c4-ceb6c9ea1d54,Fiji Sea Ports (OpenStreetMap Export),Haiti Sea Ports (OpenStreetMap Export),Viet Nam Sea Ports (OpenStreetMap Export),Bangladesh Sea Ports (OpenStreetMap Export),Chad Sea Ports (OpenStreetMap Export),Niger Sea Ports (OpenStreetMap Export),Mali Sea Ports (OpenStreetMap Export),Kosovo Sea Ports (OpenStreetMap Export),Philippines Sea Ports (OpenStreetMap Export)
Approved,,HOTOSM - Education Facilities,data series,Humanitarian OpenStreetMap Team (HOT),385,none|19,589f37af-484b-4f97-a09b-31cd20fa2954|5cc5adfc-dac8-42cd-8f6d-bd6e0dbb8e5f|c9cfedaf-2e52-400d-a691-85a7798086d7|83099aa2-7b56-44b1-bc1c-698cf294e8ec|e0ad906e-49a5-4c32-90fb-0420047b3f5b|3157bfda-da28-4220-b256-6b8c732a2cb0|84b68b75-cb31-4d81-abe9-dcb19d3b850a|4d5bb484-9ed8-4738-a91b-741df4b9cc28|5021c530-fcbc-4011-aee1-5242818f01d5,Chad Education Facilities (OpenStreetMap Export),Niger Education Facilities (OpenStreetMap Export),Mali Education Facilities (OpenStreetMap Export),Fiji Education Facilities (OpenStreetMap Export),Kosovo Education Facilities (OpenStreetMap Export),Philippines Education Facilities (OpenStreetMap Export),Haiti Education Facilities (OpenStreetMap Export),Viet Nam Education Facilities (OpenStreetMap Export),Bangladesh Education Facilities (OpenStreetMap Export)
Approved,,HOTOSM - Airports,data series,Humanitarian OpenStreetMap Team (HOT)|Humanitarian OpenStreetMap Team (HOT),385,none|21,9b210472-a983-419b-8042-0f9fc047cb9f|498bd1c2-d068-46d5-a632-d13ea05c0740|b2381343-2c98-4f1a-83c3-1da04c8c2aa2|97ca777f-caef-43bb-ba3f-ee853e049ed6|2fbce678-4bb7-4f11-8ffe-c09d35fdfa82|be58a5d0-8cea-4418-9501-d9776b4ef526|05eeb4a8-9b02-4acf-a6e7-2e8e44179a0c|8e9d04e9-1c2c-4619-b79c-b112ba2c0b24|77f3f091-cc53-4c2d-8898-9841e6b3db0c,Fiji Airports (OpenStreetMap Export),Haiti Airports (OpenStreetMap Export),Viet Nam Airports (OpenStreetMap Export),Bangladesh Airports (OpenStreetMap Export),Chad Airports (OpenStreetMap Export),Niger Airports (OpenStreetMap Export),Mali Airports (OpenStreetMap Export),Kosovo Airports (OpenStreetMap Export),Philippines Airports (OpenStreetMap Export)
Approved,,HOTOSM - Populated Places,data series,Humanitarian OpenStreetMap Team (HOT),385,none|17,5673f0ce-5f69-4d41-af8b-fd4e986359d6|0d05d2f8-06ca-4b61-9a07-3051191a5231|6a7862f2-3e76-43d2-86fe-3fd62ca2f316|d616fc96-bfc0-4ffb-b195-a9c6180d2265|74f4f14d-b01c-4a16-a87f-1b7ce47886b6|efd0796e-b740-45c7-8d04-80949326352d|77a817b3-cc0e-4666-b332-4ec6dc3f6a5a|31dda6f5-a9d2-43fb-be86-cdb8c5ab1099|5290b276-f5f3-4df3-9cd9-e53d68c26e17,Chad Populated Places (OpenStreetMap Export),Niger Populated Places (OpenStreetMap Export),Mali Populated Places (OpenStreetMap Export),Fiji Populated Places (OpenStreetMap Export),Kosovo Populated Places (OpenStreetMap Export),Philippines Populated Places (OpenStreetMap Export),Haiti Populated Places (OpenStreetMap Export),Viet Nam Populated Places (OpenStreetMap Export),Bangladesh Populated Places (OpenStreetMap Export)
