Data series name,Data set 
UNHCR - Intention to return survey,Central African Republic - Refugees Transfer Intention - 2022
UNHCR - Intention to return survey,"Iraq - Movement Intention Survey in Erbil Camps, 2021"
UNHCR - Intention to return survey,"Iraq - Movement Intention Survey in Sulaymaniyah Camps, 2020"
UNHCR - Intention to return survey,Central African Republic - Intention survey of IDPs in Bambari - 2021
UNHCR - Intention to return survey,Survey of intentions and perspectives of refugees from Ukraine #2 - Sept 2022
UNHCR - Intention to return survey,Intention Survey of Rohingya Refugees from Myanmar: A Regional Perspective - 2021
UNHCR - WASH KAP Survey,Congo - KAP WASH Survey - 2017
UNHCR - WASH KAP Survey,Mozambique - KAP Survey – Maratane Refugee Camp
UNHCR - WASH KAP Survey,"Uganda - WASH KAP Survey, Kyangwali Refugee Settlement 2018"
UNHCR - WASH KAP Survey,"Uganda - WASH KAP Survey, Palorinya Refugee settlement zone 3 - 2018"
UNHCR - WASH KAP Survey,"Bangladesh - WASH KAP Survey Rohingya Cox’s Bazar, 2018"
UNHCR - WASH KAP Survey,South Sudan - KAP WASH 2018 in South Sudan's Ajuong Thok and Pamir Camps
UNHCR - WASH KAP Survey,South Sudan - KAP WASH 2019 in South Sudan's Ajuong Thok and Pamir Camps
UNHCR - WASH KAP Survey,South Sudan - KAP WASH 2017 in South Sudan's Ajuong Thok and Pamir Camps
UNHCR - Lebanon - Monitoring of the Effects of Economic Deterioration on Refugee Households,"Lebanon - Monitoring of the Effects of Economic Deterioration on Refugee Households, Wave 2 (RON) 2020"
UNHCR - Post-Distribution Monitoring of Cash-Based Intervention,Pakistan - Post-Distribution Monitoring of Cash-Based Interventions - 2022
UNHCR - Post-Distribution Monitoring of Cash-Based Intervention,"Ukraine - Post-Distribution Monitoring of Cash-Based Intervention, 2020"
UNHCR - Post-Distribution Monitoring of Cash-Based Intervention,"Indonesia - Post-Distribution Monitoring of Cash-Based Intervention, December 2020"
UNHCR - Post-Distribution Monitoring of Cash-Based Intervention,Afghanistan - Post-Distribution Monitoring of Cash-Based Interventions - 2021-22
UNHCR - Post-Distribution Monitoring of Cash-Based Intervention,Mali - Cash-Based Interventions Post-Distribution Monitoring - AUG 2021
UNHCR - Post-Distribution Monitoring of Cash-Based Intervention,Mali - Cash-Based Interventions Post-Distribution Monitoring - DEC 2020
UNHCR - Post-Distribution Monitoring of Cash-Based Intervention,Bangladesh - Post-Distribution Monitoring Cash-Based Interventions - July 2018
UNHCR - Post-Distribution Monitoring of Cash-Based Intervention,Ghana - Post-Distribution Monitoring of UNHCR Cash-Based Interventions - Oct 2018
UNHCR - Post-Distribution Monitoring of Cash-Based Intervention,Ghana - Post-Distribution Monitoring of UNHCR Cash-Based Interventions - Jan 2021
UNHCR - Post-Distribution Monitoring of Cash-Based Intervention,"Serbia - Post-Distribution Monitoring of Cash-Based Interventions, July 2020"
UNHCR - Post-Distribution Monitoring of Cash-Based Intervention,Afghanistan - Eastern Region: Post-Distribution Monitoring of Cash-Based Interventions - 2020
UNHCR - Post-Distribution Monitoring of Cash-Based Intervention,Côte d'Ivoire - Post-Distribution Monitoring of Cash-Based Interventions - Feb 2021
UNHCR - Post-Distribution Monitoring of Cash-Based Intervention,Niger - Cash-based Intervention Post-distribution Monitoring in Tillabery Region of Niger in 2021
UNHCR - Post-Distribution Monitoring of Cash-Based Intervention,Uganda - Post-Distribution Monitoring of Cash-Based Interventions for Women at Risk - November 2021
UNHCR - Protection Monitoring,"Iraq - Protection Monitoring of Refugees in Response to COVID-19, 2020"
UNHCR - SENS Survey,Chad - Standardised Expanded Nutrition Survey (East) - 2016
UNHCR - SENS Survey,Malawi - Standardised Expanded Nutrition Survey (Dzaleka Refugee Camp) - 2012
UNHCR - SENS Survey,"Chad - Standardised Expanded Nutrition Survey (South, South-East and West) - 2016"
UNHCR - SENS Survey,"Chad - Standardised Expanded Nutrition Survey (East, South and Lake Region) - 2021"
UNHCR - SENS Survey,Niger - Standardized Expanded Nutrition Survey - 2016
UNHCR - SENS Survey,"United Republic of Tanzania - Standardized Expanded Nutrition Survey (SENS) in Kigoma Refugee Camps (Nyarugusu, Nduta and Mtendeli) - December 2016"
UNHCR - SENS Survey,United Republic of Tanzania - Standardized Expanded Nutrition Survey (SENS) in Kigoma Refugee Camps: Mtendeli - Sept/October 2021
UNHCR - SENS Survey,United Republic of Tanzania - Standardized Expanded Nutrition Survey (SENS) in Kigoma Refugee Camps: Nduta - Sept/October 2021
UNHCR - SENS Survey,United Republic of Tanzania - Standardized Expanded Nutrition Survey (SENS) in Kigoma Refugee Camps: Nyarugusu Congolese - Sept/October 2021
UNHCR - SENS Survey,United Republic of Tanzania - Standardized Expanded Nutrition Survey (SENS) in Kigoma Refugee Camps: Nyarugusu Burundian - Sept/October 2021
UNHCR - SENS Survey,United Republic of Tanzania - Standardized Expanded Nutrition Survey (SENS) in Kigoma Refugee Camps: Nyarugusu Burundian - Sept/October 2021
